text,label
히히 오늘은 포장했는데 복숭아 상태 안좋다고미안하시다며 서비스를주시는데주문한거보다 서비스를 많이 주셨어오 감사해오 ㅠㅠ 잘 먹었습니다 계속 이용하겠습니다 ㅋㅋㅋ,1
메뉴가 다양해서 좋아요 맛도 최공,1
리뷰 쓰기 전에 개를 이미 먹고 있었는데 일반 크로플 개 시켰는데도 그대로 있네요 서비스 감사합니다 밀크티도 맛있어요,1
서비스을 엄청 주셨어요 ㅠㅠ 감사합니다 정말 맛있어요,1
밀크티 넘 맛있어요 서비스도 마니주시구 크로플 바삭바삭하고 맛있었어용  밀크티에 들어있는 펄도 쫀득쫀득 맛있게잘먹었습니당,1
배달도 빠르고 전부 다 너무 맛있었습니다 서비스도 감사합니다 또 주문할 것 같아용 감사합니다,1
원래 복숭아그릭요커트를 두개씩 주시나여 푸짐한 양에 깜짝 놀라버렸어요 좀 비싸다 생각했는데 이정도면 대박 혜자 서비스로 주신 수박주스도 너무너무 맛있었어요 밀크티는 말할 것도 없죠ㅠㅠ 정말 사장님 오래오래 번창해주세요 또 먹으러 갈게요,1
허버허버 먹느라 사진은 못 찍었는데 티라미수크로플 다들 꼭 먹어주세요,1
밀크티와 크로플을 함께 즐길 수 있다는 것 자체가 큰 행복입니다 맛있어요,1
아니 복숭아그릭요거트 두개나 주시다뇨 진짜 하나도 안시고 줜맛탱커리,1
엄청나네요 굿,1
맛있게 먹었어요,1
처음시켰는데 서비스도주시고 그릭요거트때매 시켰는데 음료 맛집이네용 자주 시켜먹어야겟어요,1
오늘도 역시 넘넘 맛있어요ㅎㅎ 한주의 피곤함을 싹 잊게 하는 디에스티 사랑합니당,1
맛잇어요,1
신비복숭아 요거트 달달해서 맛있어요 오분도 안되서 다먹어버렸네요 배달도 빨라서 좋았어요 서비스도 너무 감사합니당,1
맛있었어용 ㅎㅎ 타피오카가 없어도 서비스 주셔서 괜찮습니다 ,1
크로플도 하나 더 주시고 감사합니다 ㅠ 항상 맛있게 잘 먹고 있어요,1
정말 맛있었는데 제가 추가한 생크림 안보내주셨어요,1
항상 맛은 있지만 오늘은 사이즈가 잘못와서 애매하게 음료마시기를 마무리했습니다,1
과일 알갱이가 들어가 있어서 참 좋네요ㅎ 친절히 전화도 주시고 맛있게 잘 먹었습니다,1
직접 픽업하러 갔는데 사장님이 정말 친절하게 설명 해주시고 토핑이랑 서비스도 많이 챙겨주셨어요  버블티랑 크로플 맛은 뭐 말이 필요 없습니다ㅎㅎ 걷바속촉에 쫄깃한 식감 완전 최고에용 직접 만드신 생크림도 너무 달지 않고 딱 촉촉하고 맛있었어요,1
저 방금 주문한 사람인데 수저포크 요청했는데 안왓네여 ㅜㅜ 다른건 몰라도 실링처리된 음료는 빨대 없이 어떻게 먹는거죵ㅜㅜㅜㅜ 빨대랑 포크만 다시 배달해달라고 하기에는 좀 그래서 그냥 글로 남겨요,1
수박쥬스 맛있는데 수박라떼도 맛있네요 서비스로 주신 요거트볼은 아침으로 잘먹을게용,1
오 밀크티 진짜 최곤데요 당도 딱 정확히 바라던맛이예요 이게 내맘같기가 쉽지않은데 우왕 펄도 안달고 딱 원하던맛 줄어드는 게 너무 아쉽네요ㅠㅠ 복숭아가 딱딱이 인게 조금 아쉬운데 또 몰랑이는 워낙 취급하기가 어렵죠ㅠㅠ 아니 근데 두통이나 와서 오잉 이게 잘못왔나 했는데 와 복숭아가 짱커서 두통이 나오는거였네요 와우 한통은 내일먹어야징 신난당 애플수박주스가 누락되어와서 연락드렸었는데 친절하고 깔끔하게 대응해주셔서 애플수박주스도 감사히 마셨습니당 수박양을 진짜 많이 넣으셨더라구요 거의 수박 향만내고 당도로 맛내거나 거의 물상태인곳많잖아요 여긴 아낌없이 수박본연으로 맛을내주셔서 깔끔하고 시원하더라구요 그릭요거트 완전 꾸덕 아흉 맛있엉 서비스도 뭐 거의 본품아님니까 크 흥하는곳은 이유가 있죠 감사히 잘먹었습니다,1
수박쥬스만 토핑없음 알로에 코코넛세잔 시켰는데 알로에를 안넣어주셨네요 컵에 알로에 표시가 없길래 표기만 까먹으신줄 알았는데 마셔보니 진짜 알로에가 없네요 토핑없는 수박쥬스 두잔 오고 그리고 코코넛 이렇게 왔어요ㅠㅠ 알로에가 최애인데 다음에는 꼭 알로에 추가 꼭 해주세오,1
처음시켜봤는데맛있구빠른배송두서비스두좋구다맘에듭니다다음에두맛나게해주세요사업번창하시구추석연휴잘보내세요,1
오늘도 역시 오키나와 잘 먹었습니다 같이 보내주신 크로플은 힘든 하루의 선물 같이 제게 큰 힘이 되었습니다 잘 먹었습니다,1
와 여기 맛집이네요,1
밀크티가 먹고 싶어서 최소금액맞추려고 시킨 크로플이었는데 퀄리티가 너무 좋아서 처음에 잘못 온거 아닐까 눈을 의심했어여 거의 한끼 식사용 항상 과일도 서비스로 넣어주셔서 배부르게 먹고있습니다 오키나와 스무디 말로 설명할 수 없는데 맛있는 맛,1
수박주스 파는 곳 찾다가 시켰는데 메뉴 하나하나마다 문구가 주옥같아요 ㅋㅋ 동네 친구들한테 보여줫더니 다들 웃더라고요ㅋㅋㅋㅋ 커피도 사이즈 시켰는데 큰게와서 놀랐지만 오히려 좋아 담엔 가게이름에 부응해서 밀크티도 먹어볼게요 나 믿어 애넘밀크티 믿어 서비스도 감사합니다 과일안먹는 자취생에게 쵝오의 서비수,1
급하게 먹느라 사진이 없는 점  죄송합니다 ㅜㅜ 일단 딸기요거트스무디 진짜 다른 매장이랑은 차별되게 새콤달콤한 맛이 일품이더라고요 진짜 너무 맛있었어요 앞으로도 자주자주 시켜먹겠습니다 감사합니다 번창하세요,1
진짜 짱맛있어요 서비스 감사합니다,1
밀크티랑 기본 크로플 맛있는건 원래알고 있고 애플 시나몬이랑 복숭아요거트도 맛있었어요 다만 배달진짜 조리 시간이 오래 걸리는 음식도 아닌데 분이 넘는건,1
오늘도 잘먹었습니다 서비스 감사합니다,1
애플시나몬 크로플 정식메뉴에 들어왔군요ㅎㅎ 진짜진짜 맛있어요ㅠㅠ 같이 넣어주신 시리얼까지 얹어먹으면 신세계 그리고 밀크티 저지방우유 옵션 생겨서 넘나리 좋아요ㅎㅎ 사장님 근데 저 애넘밀크티 하나 얼음이랑 펄 둘다 없음으로 주문했는데 얼음이 넣어져서 왔어요ㅠㅠㅠ 제가 바쁜시간에 주문해서 정신이 없으셨던것같은데 담엔 꼭 확인부탁드립니당,1
크로플 대박이에요 번창하세요,1
배달 시간 분분 딜레이되서 왔습니다 애덤 밀크티는 씁쓸한 맛에 얼음은 다 녹아서 왔습니다 서비스로 주신 히비스커스 티는 부모님 드렸는데 맛이 안나고 맹물이라고 해서 먹어보니 맛이 거의 희미하게 나고 색만 진하네요 원래 제일 맛있어서 테이크아웃해서 몇번 사먹던 곳인데 배달만 이런 건지 잘 모르겠습니다,0
늦는다고 전화쥬시고감사해용 크로플 지쨔맛있네여 왜 마약크로플인지알거같아요 수박주스 진짜너무맛있어요 ㅠㅠㅠ 서비스로쥬신 티도잘먹을게용,1
사장님 그릭모모 맛있게 먹었어요 서비스 눈물 납니다 ㅠㅠ 번창하세요 아 참 사장님 비결이 뭐예요,1
왜그러세요 왜 제가 시킨것보다 배 더주시죠 감사해요 ㅋ,1
매번 서비스도 많이 주시고 감사합니다 덕분에 더 맛있게 먹고있네요,1
그릭복숭아 너무 맛있었어요 밀크티도 역시나 맛있었습니당 서비스로 티 챙겨주셔서 감사해요 ,1
지금 한 일주일 새에 세번정도 시킨 것 같아요 ㅋㅋㅋㅋ 밀크티 너무 맛있고 크로플도  까먹고 사진을 못 찍었는데 담엔 꼭 찍겠습니당 리뷰이벤트로 주신 과일도 너무너무 맛있었어요,1
크로플 완전 바삭하구 맛있어요 다들 마약 크로플만 드시는거 같은데 꼭 애플시나몬이랑 티라미수 크로플도 드셔보시면 좋을거 같아용 ㅠㅠㅠ 후기가 없길래 제가 추천하러 왔습니다티라미수 크로플 진짜 티라미수 같아요 전 개인적으로 애플시나몬 크로플이 더 좋았어요 크로플 갈라서 안에 애플쨈 넣어주시는데 과육 씹히고 그렇게 많이 안달고 맛있어요 와플+사과쨈 조합 다들 알자나영 크로플+사과쨈 메모메모 전 이제부터 이것만 먹을겁니다 사실 두가지 메뉴 먹고싶어서 크로플 메뉴 두개 시켰는데 메뉴당 크로플을 두개나 구워주시는줄 모르고 총 개나 먹게되어버렸어요 대혜자크로플집어쩐지 몇명이서 먹을건지 여쭤보시더라구요 제가 다 먹을겁니다 서비스 빵까지 챙겨주셔서 배 터졌어요 사장님 남는 장사 맞으시죠 밀크티도 엄청 맛있고 펄도 많이 넣어주십니다 ㅜㅜ 다들 디에스티 먹으세용,1
서비스 감사합니다 ㅎㅎ 음료 세개 다 달고 맛있어요 커피도 쓰지 않고 딱 좋아하는 맛이에용,1
단거좋아하는 저에겐 당도선택 넘모 좋아요,1
바로 아래 리뷰 쓴 사람인데요 방금도 시켰어요 근데 만원 어치정도 밖에 안시켰는데 오렌지랑 복숭아를 서비스로 주시다니 그냥 인심이 흘러 넘쳐요 크로플 오늘도 맛있게 먹었습니다 감사합니다,1
원에 크로플 두개 가격이 미쳤어요 너무 싸 그리고 여러분 저 뻥이 아니고 정말 맹세코 크로플 중에 가장 제 취향이에요 뭔가 쫀득쫀득 찹쌀같은 식감이어서 진짜 놀랬어요 당장 크로플을 시키세요,1
이번에도 잘 먹었습니다 늦는다고 연락 주셔서 괜찮냐고 물어봐주셔서 감사했어요,1
복숭아그릭요거트가 생각했던거와 많이달라서 좀 당황했네요 사진상으로는 천도복숭아로 나와있는데 음식받은건 황도였구요 뭐 그건 그렇다 치더라도 그릭요거트 제가 평소에 즐겨먹는 음식인데 제가 알고있는 그릭요거트와 많이다르네요 그릭요거트는 꾸덕함이 생명 아닌가요 그냥 묽은 일반요플레였고 양도 너무적구요 그람수라도 메뉴에 표기해주시는게 오해의소지가없겠네요 사진이랑 아예다른음식이와서 좀 황당해요 소비자입장으로서는 그리고 크로플도 그냥그렇구요 배달도좀늦게왔는데 이건 비와서그런거라고 생각할게요 두번은 안시킬거같아요,0
맛있어요 추천합니다 ,1
메뉴랑 서비스랑 하나같이 다 맛있는데 수박주스가 진짜 최고예요 수박 주스 최애인데 이런 곳을 이제 알다니 여태 손해보고 살았습니다 사장님도 너무 친절하시고 최고예요 앞으로 자주 시키겠습니다,1
오랜만에 시켰는데 여전히 맛있네요,1
수박쥬스만 세잔 주문한 수박쥬스 처돌이인데 어제 첫주문했다가 너무 맛있어서 방금 재주문 했어요 크크 사장님도 너무 친절하시고 주문 하나하나 정성이신것 같아요 갬동,1
사진은다먹구치워서 못찍었어요 다맛있어요짱짱,1
수박쥬스 최고입니당코코넛젤리 추가 꼭,1
저는 늘 오키나와 스무디나 크로플을 시켜 먹는데요 오늘도 역시 너무 맛있는 오키나와 입니당ㅎㅎ 잘 먹었습니다 서비스 감사드립니다,1
친절하십니당,1
당충전이 필요한날이면 어김없이 생각나는 디에스티 한결같은 맛과 서비스에 늘 믿고 주문해용 서비스로 챙겨주신 애플시나몬크로플은 진짜 맛있었어요ㅠㅠ 가을이 느껴지는 맛이랄까요 시즌메뉴로 출시해주시면 좋을것같아용,1
밀크티 넘 먹고싶어서 처음 시켜봤는데 완전 맛있어요 딱 제가 좋아하는 밀크티 스타일이고 당도 조절이 가능하길래 고민하다 단계로 했는데 적당히 달고 딱 좋네용 ㅎㅎ 크로플도 겉바속촉 입니다 그리고 주스 하나를 서비스로 주셔서 깜짝 놀랐어욥 제가 또 토마토주스 킬러인 건 어찌 아시고 감사합니다 잘 마실게용,1
비가 와서 배달이 너무 늦어졌지만 밀크티는 맛있게 잘 마셨어용 함께 주신 오렌지도 감사합니당,1
사진이 날라갔는데 ㅠㅠ 사장님이 전화주셔서 망고수박주스로 바꿔먹었는데 맛있었어요  크로플더 하나 더 넣어주시고 서비스 짱 ,1
음료도 맛나구 크로플도 아주 맛있었어요,1
크로플 이 귀한걸감사합니다 밀크티도 넘 맛나요 ㅎㅎ 또시킬게요,1
단 거 땡길 때 항상 제일 먼저 생각나는 가게예요 늘 먹는 딸기요거트는 말할 것도 없고 새로 시켜본 수박주스도 정말 최고입니다 늘 주시는 서비스도 항상 새로운 형태로 와서 너무너무 좋아요 또 시켜먹을게요,1
서비스 감사합니다 맛있어요,1
디에스티 짱 크로플 덕후인대 디에스티가 제일 맛있어요,1
크로플이랑 버블티는 먹어봐서 맛있는거 알고있었는데 처음 도전한 샌드위치도 맛있었어요 디에스티 최고 ,1
너무 맛있어서 여기만 먹는데 무슨 말이 더 필요할까요ㅠㅠㅠㅠ,1
서비스 감사합니다 음료도 맛있고 양도 엄청 많네요  맛있어요 담에도 시켜먹겠습니다,1
카페는 웬만하면 직접 가서 먹지 배달은 잘 안 시키는데 저번에 먹어보고 기억에 남아서 또 시켰어요 새로운 메뉴도 너무 맛있고 서비스를 너무 많이 주셔서 놀랐습니다 말로만 듣던 건물주가 취미로 하는 그런 건가요 다음에 또 먹을게요,1
잘먹었습니다 여기는 항상 맛있어서 생각나는 곳이에요 따듯한 사장니 마음도 잘 받았습니당 ,1
항상 잘마시고있습니다 너무맛있어여,1
오늘 제 생일인데 어찌 아시고 서비스를 개나 주셨어요 사장님 ㅠㅠ 너무 감동 받은 하루였습니다 크로플은 디에스티에서만 먹는데 오늘도 여전히 맛있더라구요 감사합니다,1
당 떨어진다고 시켜줬는데 너무 맛있고 당 보충 맛있게 잘 했다고 하네요 다음에 또 시킬게요,1
