일시,지점,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr),sale
2021-01-01,108.0,-4.199999999999997,-9.800000000000008,511.0,1.5999999999999996,1447.0,,,,,,,7.699999999999993,270.0,1530.0,4.099999999999997,270.0,1532.0,2.0,1723.0,270.0,-10.199999999999992,50.0,1140.0,64.0,2.900000000000002,1014.9000000000009,1028.0999999999992,249.0,1023.9000000000009,1354.0,1026.0,9.600000000000009,6.5,1100.0,1.7399999999999993,9.540000000000006,,,,,,3.9000000000000035,3.5,-3.4000000000000026,-13.299999999999997,-0.6000000000000005,-0.6999999999999998,0.09999999999999998,1.3999999999999997,2.900000000000002,6.800000000000005,9.699999999999992,15.899999999999986,17.5,1.1000000000000008,1.5999999999999996,,,615110
2021-01-02,108.0,-5.0,-8.400000000000004,805.0,-1.3999999999999995,1346.0,,,,,,,9.900000000000004,290.0,1436.0,5.400000000000003,320.0,1413.0,2.600000000000001,2214.0,270.0,-17.100000000000005,29.0,1419.0,38.5,1.6000000000000005,1018.5,1032.7000000000005,2359.0,1026.0,1.0,1029.5999999999997,9.599999999999996,9.0,1200.0,1.9500000000000004,11.340000000000002,,,,,,0.0,0.0,-3.900000000000001,-13.1,-0.5999999999999998,-0.8000000000000003,0.0,1.1999999999999995,2.600000000000001,6.599999999999997,9.599999999999996,15.800000000000006,17.5,1.3999999999999995,2.0,,,296620
2021-01-04,108.0,-3.5,-8.400000000000002,656.0,0.29999999999999993,1535.0,2.329999999999999,,,,,0.0,5.599999999999998,70.0,1200.0,3.200000000000001,50.0,609.0,1.6999999999999995,1485.0,50.0,-12.199999999999996,38.0,1136.0,51.399999999999984,2.5,1020.2999999999997,1035.0,224.0,1028.0,2109.0,1031.4,9.699999999999998,4.599999999999999,1200.0,1.6700000000000006,7.4399999999999995,0.0,,0.0,,0.0,4.799999999999999,4.799999999999999,-3.299999999999999,-12.599999999999996,-1.0,-1.3000000000000003,-0.40000000000000013,0.8000000000000003,2.2999999999999994,6.299999999999998,9.400000000000002,15.599999999999998,17.4,0.9000000000000001,1.3000000000000003,0.0,,259900
2021-01-05,108.0,-5.5,-9.900000000000004,2356.0,-2.100000000000001,1.0,5.420000000000001,,,,,0.0,9.900000000000004,340.0,1105.0,5.700000000000002,290.0,1131.0,2.899999999999999,2528.0,290.0,-14.199999999999994,30.0,1145.0,52.799999999999976,2.2000000000000006,1019.2000000000004,1033.0,1044.0,1028.7999999999995,309.0,1030.4000000000003,9.699999999999996,8.599999999999996,1200.0,1.9799999999999995,10.460000000000006,0.0,,0.0,,0.0,2.600000000000001,2.100000000000001,-3.200000000000001,-12.5,-0.5,-0.8999999999999999,-0.40000000000000013,0.8000000000000003,2.2000000000000006,6.200000000000002,9.300000000000004,15.5,17.300000000000008,1.1999999999999995,1.7,,,248520
2021-01-06,108.0,-7.400000000000004,-12.0,702.0,-1.899999999999999,1547.0,5.330000000000003,,,,,2.2999999999999985,15.899999999999991,290.0,2348.0,8.099999999999998,290.0,2351.0,2.400000000000001,2039.0,270.0,-15.899999999999991,24.0,1503.0,54.599999999999966,1.899999999999999,1012.7999999999997,1030.2999999999997,4.0,1016.7000000000003,2218.0,1024.0,9.699999999999994,9.100000000000001,1200.0,2.04,11.779999999999989,3.799999999999998,2055.0,3.799999999999998,2055.0,4.0,3.599999999999998,2.5,-4.0,-15.5,-1.700000000000001,-1.899999999999999,-0.8000000000000004,0.6000000000000002,2.0,6.0,9.199999999999994,15.5,17.3,1.2000000000000004,1.799999999999999,2.2999999999999985,,469800
2021-01-08,108.0,-14.899999999999986,-18.600000000000016,812.0,-10.699999999999994,1450.0,,,,,,,10.899999999999991,270.0,1518.0,6.1000000000000005,290.0,1601.0,3.3000000000000007,2820.0,290.0,-24.5,35.0,1349.0,44.0,0.8999999999999991,1014.0999999999991,1027.5,433.0,1022.9000000000009,1449.0,1025.5999999999992,9.699999999999992,9.199999999999992,1200.0,2.090000000000002,12.379999999999997,,,1.1000000000000008,1.0,,0.0,0.0,-9.300000000000008,-20.200000000000017,-3.4000000000000026,-3.4000000000000026,-1.7999999999999983,0.09999999999999998,1.7000000000000013,5.800000000000004,8.899999999999991,15.299999999999992,17.200000000000014,0.7999999999999998,1.200000000000001,,,648900
2021-01-09,108.0,-12.199999999999996,-16.60000000000001,614.0,-7.5,1602.0,,,,,,,11.400000000000002,270.0,1644.0,6.5,290.0,1628.0,2.6000000000000005,2221.0,270.0,-21.5,35.0,1207.0,46.29999999999998,1.1000000000000005,1014.0,1027.4000000000005,2222.0,1023.2999999999995,1441.0,1025.4000000000005,9.699999999999996,9.0,1200.0,1.9900000000000004,11.59,,,1.0,1.0,,0.8000000000000003,0.2999999999999999,-8.400000000000004,-20.300000000000008,-3.700000000000002,-3.799999999999998,-2.299999999999999,-0.2999999999999999,1.5,5.599999999999998,8.800000000000004,15.199999999999992,17.199999999999992,0.8999999999999997,1.3000000000000003,,,373520
2021-01-12,108.0,-3.9,-9.3,657.0,-0.5,1417.0,7.5,,,,,2.6,4.9,50.0,1207.0,3.4,50.0,908.0,1.8,1596.0,50.0,-7.0,61.0,1221.0,79.5,3.8,1006.9,1023.0,1.0,1015.1,1703.0,1017.9,9.8,3.6,1100.0,1.73,6.13,5.0,1955.0,5.1,1955.0,5.0,6.1,5.3,-4.1,-12.2,-2.0,-2.5,-1.9,-0.7,1.2,5.2,8.4,14.9,17.1,0.5,0.8,2.6,,64270
2021-01-13,108.0,2.0,-3.0,430.0,8.300000000000002,1458.0,0.67,,,,,0.0,9.0,200.0,1552.0,4.900000000000001,230.0,1542.0,2.3999999999999995,2054.0,50.0,-1.3000000000000003,63.0,2341.0,80.29999999999998,5.700000000000002,1004.5999999999999,1020.0,2356.0,1012.0,1359.0,1015.2999999999996,9.800000000000002,6.099999999999999,1100.0,1.6999999999999997,8.270000000000001,,,5.0,1.0,,3.0,3.0,0.0,-7.300000000000001,-0.4000000000000001,-1.1000000000000003,-1.0,-0.4000000000000001,1.1999999999999997,5.099999999999999,8.300000000000002,14.800000000000006,17.0,1.1000000000000003,1.6000000000000003,,,286700
2021-01-14,108.0,1.6999999999999995,-3.600000000000001,749.0,7.0,1506.0,,,,,,,6.5,70.0,1353.0,3.899999999999999,70.0,1357.0,2.3000000000000003,1961.0,70.0,-9.200000000000001,26.0,1514.0,46.5,3.100000000000001,1011.1000000000003,1024.7999999999997,909.0,1019.7999999999998,2156.0,1021.8999999999997,9.799999999999999,8.0,1200.0,1.7800000000000005,10.210000000000004,,,,,,0.0,0.0,-0.2,-7.599999999999999,0.1,-0.5999999999999999,-0.7,-0.2,1.1999999999999997,5.0,8.200000000000001,14.699999999999998,17.0,2.0,2.8,,,161140
2021-01-15,108.0,4.5,-0.7000000000000001,2357.0,9.9,1303.0,0.42,,,,,0.19999999999999998,10.6,250.0,1459.0,5.8,230.0,1503.0,3.0,2632.0,50.0,-1.3,42.0,248.0,67.39999999999999,5.8999999999999995,1005.6,1020.0,1.0,1011.1999999999999,1348.0,1016.1999999999999,9.9,0.0,1100.0,0.42,2.11,,,,,,8.5,6.3999999999999995,0.7000000000000001,-2.3000000000000003,0.3,-0.39999999999999997,-0.5,-0.19999999999999998,1.2,4.8999999999999995,8.1,14.700000000000001,16.900000000000002,0.7000000000000001,1.0,0.19999999999999998,,106200
