업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
요거프레소-을지로3가점,4일 전,5,5,3,"
            한입 요거트 I.C （딸기）/1,생크림딸기 와플/1(추가 선택(휘핑추가))
          ",맛있습니다 아이스크림이 좀 녹아서 속상했는데 딸기랑 커피 와플 다 맛잇앗어요
요거프레소-을지로3가점,일주일 전,5,5,5,"
            한입 요거트 I.C （복숭아）/1,흑임자라떼/1(HOT／ICED 선택(HOT변경)),밀크폼 쑥 버블라떼（ONLY ICE）（L）/1,어니언 베이글/1
          ",포장까지 잘 하시고 맛있어요~!
요거프레소-을지로3가점,2022년 3월 20일,5,5,5,"
            플레인 요거트 아이스크림 3인/1
          ",요거트 아이스크림 너무 맛있어요 ㅠㅠ 요거프레소 시킬때 이지점에서만 시키려구요
요거프레소-을지로3가점,2022년 3월 16일,5,5,5,"
            플레인 요거트 아이스크림/1,딸기생크림오믈렛/1
          ","와…저 요거프레소 왜 이제 알았죠…? 딸기오믈렛은 시트촉촉 크림도 안느끼하고 딸기도 제철이라 그런지 좋은 과육으로 왔네요 (묵직해서 그런지 몇개 탈출ㅋㅋ)
서비스로 주신 아메리카노와 함께 맛있게 먹는중입니다.
요거트 아이스크림도 상큼깔끔맛있구요!
손수 적어주신 메모와 츄잉캔디도 감사합니다~
포장도 꼼꼼히 배달도 예상보다 빨리 보내주셔서 대만족상태 🤩 
빠른 시일내에 또 주문각입니다 ㅋㅋㅋ"
요거프레소-을지로3가점,2022년 3월 8일,5,5,5,"
            플레인 요거트 아이스크림 2인/1,플레인 베이글/1
          ","포장 녹지않게 엄청 꼼꼼히 잘 해주세요 ^^
요거프레소 요거트 말해모해 ~~~ 엄지 착"
요거프레소-을지로3가점,2022년 2월 20일,5,5,5,"
            초코쿠키스무디/1,허니브레드/1(추가 선택(휘핑추가))
          ",진짜 넘 맛있었어요ㅠㅠ 담에 또 시켜먹을게요!
요거프레소-을지로3가점,2022년 2월 14일,5,5,5,"
            치즈큐브 요거트 아이스크림（딸기）/1,치즈큐브 요거트 아이스크림（블루베리）/1
          ",맛있게 잘 먹었어요 :) 지점마다 다른건지 먹어봤던 여러 지점과 다르게 여기는 치즈큐브가 엄청 많아서 행복했어요..❤️
요거프레소-을지로3가점,2022년 2월 7일,5,5,5,"
            딸기생크림오믈렛/2,과일생크림 오믈렛/1(과일생크림 오믈렛 맛선택(망고)),과일생크림 오믈렛/1(과일생크림 오믈렛 맛선택(블루베리))
          ",사무실에 간식으로 최고네요!!
요거프레소-을지로3가점,2022년 1월 29일,4,4,5,"
            피스타치오스무디/1,흑당 말차버블티（ONLY ICE）（L）/1
          ","밀크티는 맛있어요, 빙수는 거의 없어요."
요거프레소-을지로3가점,2022년 1월 24일,5,5,5,"
            메리딸기/2,칠리앤치즈 핫도그/1,허니브레드/1
          ",맛있어요!!---!!!
요거프레소-을지로3가점,2021년 12월 23일,5,5,5,"
            메리뉴욕（R）/1,꿀호떡 크로플/1
          ","배달금방왔어요
메리뉴욕 맛있네요  감사합니다"
요거프레소-을지로3가점,2021년 12월 2일,5,5,5,"
            초코쿠키스무디/1,치즈큐브 요거트 아이스크림（딸기）/1,메리딸기/1
          ",에리딸기 첨먹었는데 너무맛있었어요 굳굳
요거프레소-을지로3가점,2021년 9월 7일,5,5,5,"
            메리망고（R）/1,초코브라우니 1조각/1
          ",맛ㅇㅅ어요용ㅇ~~~
요거프레소-을지로3가점,2021년 9월 1일,5,5,5,"
            크러쉬아이스티（복숭아）/1,카라멜마끼아또/1(HOT／ICED 선택(HOT변경),추가 선택(사이즈 변경)),초코라떼/1(HOT／ICED 선택(HOT변경),추가 선택(사이즈 변경)),밀크티라떼/1(HOT／ICED 선택(HOT변경),추가 선택(사이즈 변경))
          ",요거프레소는 믿고먹죠잉
요거프레소-을지로3가점,2021년 8월 21일,5,5,5,"
            메리메론（R）/2
          ",맛있게 잘먹었습니다
요거프레소-을지로3가점,2021년 8월 12일,5,5,5,"
            바닐라라떼/1(HOT／ICED 선택(HOT변경)),카라멜마끼아또/1(HOT／ICED 선택(HOT변경),추가 선택(사이즈 변경)),연유 카페라떼/1(HOT／ICED 선택(HOT변경),추가 선택(사이즈 변경)),딸기 요거트 스무디/1(추가 선택(사이즈 변경))
          ",맛있게 잘 먹었어요
요거프레소-을지로3가점,2021년 8월 11일,5,5,5,"
            메리메론（R）/2,메리치즈（R）/1
          ",너무 맛있어요! 특히 메리메론 꼭 먹어야 합니다ㅠㅠ 감동의 맛이에요~!! 서비스로 포스틱도 주시고 너무 감사합니다~!!! 배달까지 빨랐어요~~~
요거프레소-을지로3가점,2021년 7월 23일,5,5,5,"
            상그리아티/1(HOT／ICED 선택(ICED변경)),생과일주스（토마토）/1
          ","친절하시고, 빠른배송 해주셔서 감사합니다~"
요거프레소-을지로3가점,2021년 7월 20일,5,5,5,"
            메리망고（R）/1,초코브라우니 1조각/1
          ",맛잇어여요영ㅎㅎㅎㅎ
요거프레소-을지로3가점,2021년 7월 18일,5,5,5,"
            치즈 요거트 빙수/1
          ",존맛태~~~~~~~
요거프레소-을지로3가점,2021년 7월 8일,5,5,5,"
            메리메론（R）/1,메리치즈（R）/1
          ",너무 맛있게 먹었어요! 심지어  아이스크림도 안 녹았어요! 매우 만족합니다~~
