업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
이북집찹쌀순대-신당점,10시간 전,5,5,5,"
            이북집정식/1(조리 선택(조리),메뉴 선택(골고루)),순대국/1(조리 선택(조리),메뉴 선택(골고루))
          ",이렇게 양 많은 순대국은 처음입니다 반찬도 많이주시고 잘먹었습니다!
이북집찹쌀순대-신당점,13시간 전,5,5,5,"
            이북집정식/1(조리 선택(조리),메뉴 선택(골고루))
          ",언제 먹어도 여기만큼 혜자스러운 구성에 양 많은 곳 없을거에요 진짜 너무 배부르게 잘 먹었습니다 감사합니다 ㅎㅎ
이북집찹쌀순대-신당점,19시간 전,5,5,5,"
            순대국 （특） /1(조리 선택(조리),메뉴 선택(골고루))
          ",순대국 최고 맛집! 배달 빨라요
이북집찹쌀순대-신당점,20시간 전,5,5,5,"
            이북집정식/1(조리 선택(조리),메뉴 선택(골고루))
          ",양도 많고 밑반찬도 엄청 푸짐해요 맛있어요!! 잘먹겠습니다
이북집찹쌀순대-신당점,어제,5,5,5,"
            순대국/1(조리 선택(조리),메뉴 선택(골고루)),콜라/1
          ",맛있게 잘 먹었습니다
이북집찹쌀순대-신당점,어제,5,5,5,"
            순대국 （특） /2(조리 선택(비조리),메뉴 선택(골고루))
          ",깔끔하고 맛있어요 굳
이북집찹쌀순대-신당점,2일 전,5,5,5,"
            순대국/1(조리 선택(조리),메뉴 선택(골고루)),뼈다귀해장국/1(조리 선택(조리))
          ",맛있어요 또 시킬께요
이북집찹쌀순대-신당점,2일 전,5,5,5,"
            순대국/1(조리 선택(조리),메뉴 선택(골고루),추가메뉴 선택(코카콜라 추가))
          ",맛있어요 감사합니다
이북집찹쌀순대-신당점,2일 전,5,5,5,"
            오징어순대/1,모둠안주/1(사이즈 선택(中))
          ",사진 깜빡했네요.. 맛있게 잘 먹었습니다.
이북집찹쌀순대-신당점,2일 전,5,5,5,"
            순대국/1(조리 선택(조리),메뉴 선택(골고루),추가메뉴 선택(청양고추 추가,정성 반찬kit （1인반찬 5종）추가))
          ",진한국물에 제대로 몸보신했습니다..
이북집찹쌀순대-신당점,2일 전,5,5,5,"
            순대국/1(조리 선택(조리),메뉴 선택(골고루)),순대국/1(조리 선택(조리),메뉴 선택(순대만))
          ","양 푸짐하고 순대, 고기 맛이 좋아요.. 추천...
많이 파세요..."
이북집찹쌀순대-신당점,3일 전,5,5,5,"
            뼈다귀해장국/1(조리 선택(조리),추가메뉴 선택 1(아삭이고추 추가,코카콜라 추가))
          ",넘맛있어용 잘먹었슴당 ~
이북집찹쌀순대-신당점,3일 전,5,5,5,"
            순대국 （특） /1(조리 선택(조리),메뉴 선택(골고루))
          ",맛있어요! 양도많고 푸짐해요!
이북집찹쌀순대-신당점,3일 전,5,5,5,"
            뼈다귀해장국/1(조리 선택(조리),추가메뉴 선택 1(공기밥 추가,아삭이고추 추가))
          ",뼈해장국은 첨인데 맛잇네요
