,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
0,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),블랙모카라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",배달도 빠르고 커피도 맛있어요
1,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),나인슈페너/1(HOT or ICE 선택(ICE))
          ",배달 팁 안 받아서 정말 좋았어요
2,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",이제 떠나서 못 뭐먹겠네요 너무 아쉬워요
3,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            블랙모카라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인슈페너/1(HOT or ICE 선택(ICE))
          ",호텔에서 한 달 동안 살았는데 많이 시켜봤어요
4,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),카라멜 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",커피 너무 맛있어요
5,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),죠리퐁라떼/1(추가 선택(덜달게))
          ","장점:
커피 맛있다
조리퐁라떼 추천!!
배달 엄청빠름
배달팁없음"
6,커피나인-이태원점,2022년 3월 22일,5,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ","사실, 배달하는 상황이라 큰 기대를 안 했지만, 아아 맛이 고소했어요. 깔끔했어요.
원두가 좋고, 바리스타 솜씨가 좋나 봅니다 👍🙏
쿠키는 좀만 더 가격이 내리는 시절이 오기를 소망해봅니다 🌟
요즘 워낙 물가가 올랐다보니 .. ㅠㅜ"
7,커피나인-이태원점,2022년 3월 21일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",맛있게 잘먹었습니다
8,커피나인-이태원점,2022년 3월 21일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었습니다
9,커피나인-이태원점,2022년 3월 21일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있게잘먹었습니다
10,커피나인-이태원점,2022년 3월 20일,5,5,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),샷추가/2
          ",아주 맛있습니다 계속 시켜먹을듯요
11,커피나인-이태원점,2022년 3월 20일,5,5,5,"
            라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",커피는 무조건 여기에서! 맛있습니다~~~
12,커피나인-이태원점,2022년 3월 20일,5,5,5,"
            돌체라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ","너무 맛있어요 배송도 빠르고
잘 마셨습니다"
13,커피나인-이태원점,2022년 3월 20일,5,5,1,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(과테말라),아이스컵 추가(아이스컵 추가))
          ",리뷰처럼 커피 너무 맛있고 배송도 잘 왔어요!
