,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
0,커피나인-이태원점,2022년 3월 20일,5,5,1,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),더치 캔/1(메뉴 선택(과테말라),아이스컵 추가(아이스컵 추가))
          ",리뷰처럼 커피 너무 맛있고 배송도 잘 왔어요!
1,커피나인-이태원점,2022년 3월 19일,4,4,1,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ","배달 진짜 화나네요.
반이상 없고
아무리 배달이지만
이렇게 오는거 처음이네요"
2,커피나인-이태원점,2022년 3월 15일,3,4,2,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",배달은 이십 몇분만에 왔는데 배달을 다른 곳 들렸다 온건지 커피들이 다 식어서 맛이 없네요.
3,커피나인-이태원점,2022년 3월 13일,1,3,5,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",배달도 빠르고 좋은데 몇번째 시키는데 왜 자꾸 산미있는걸 주는지 이럴거면 그냥 산미선택자체를 빼주세요
4,커피나인-이태원점,2022년 3월 11일,5,5,3,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),샷추가/6,나인슈페너/1(HOT or ICE 선택(ICE)),나인스쿠키/1(쿠키 선택(더블초콜렛 칩 쿠키))
          ",이 집은 쿠키까지 맛잇네요
5,커피나인-이태원점,2022년 2월 24일,3,4,2,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),나인슈페너/1(HOT or ICE 선택(ICE))
          ","문앞게 두고 문자 아무런 연락이없어 30분가까이 음료 도착한지도 몰샀네요.
아메리카노는 괜찮습니드."
6,커피나인-이태원점,2022년 2월 6일,5,5,1,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ","배달  별하나도  아깝다ᆢ매장주문량이많아서  늦는건  충분히  이해하고  기다릴  맘은있다
배달시작되고  30분이상은  뭔지모르겠다ᆢ다른곳에  다  두르고  두른다음  온다ᆢ얼음을  좋아하기도  하지만  도착하면  얼음이  거의  다  녹아있다ᆢ물양을  작게하고  얼음을  꽉채우면  좋을것을  ᆢ늘  얼음을  꽉 채워달라해도  짜증난다ᆢ얼음아끼는건가ᆢ이젠  이곳에  시킬려니  스트레스받는다ᆢ

최악  배달ᆢ"
7,커피나인-이태원점,2022년 2월 6일,5,5,1,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ","배달  최악인집
맛은좋은집"
8,커피나인-이태원점,2022년 1월 31일,5,5,1,"
            라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT)),달구나 라떼/1
          ",픽업후 20분이나 지나서 배달 왔네요.. 커피가 다 식어서 왔어요. ㅡㅡ 전자렌지에 돌려 먹게 생겼네요...
9,커피나인-이태원점,2022년 1월 15일,5,5,3,"
            라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),블랙모카라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ","다른 배달 앱 으로 주문 몇번 했었는데, 여기 커피 진짜 맛있어요. 특히 라떼는 매번 주문합니다."
10,커피나인-이태원점,2022년 1월 14일,5,5,2,"
            달구나 라떼/2(추가 선택(덜달게))
          ",맛있고 계속 생각 나는 맛입니다
11,커피나인-이태원점,2022년 1월 8일,5,5,2,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE))
          ",맛있습니다 배달이 느려요
12,커피나인-이태원점,2022년 1월 1일,4,3,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT))
          ",양이 작은 듯 하여 마시기 전에 사진을 찍어보았어요. 가격은 올랐는데 양은 줄어서 아쉬워요.
13,커피나인-이태원점,2021년 12월 25일,1,1,1,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),바닐라 라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",한시간 반 기다려서 받은 따뜻한 아이스 바닐라라떼 .
14,커피나인-이태원점,2021년 12월 25일,3,3,1,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ","랩핑이제대로
안되어 있네요"
15,커피나인-이태원점,2021년 12월 25일,5,5,1,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),돌체라떼/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",배달 90분.....
16,커피나인-이태원점,2021년 12월 22일,4,3,4,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),죠리퐁라떼/1(추가 선택(덜달게,얼음조금))
          ",맛은있는데 죠리퐁 음료는 양이 생각보다 너무 적네요ㅎㅎ 받은지 1분만에 끝났어요ㅋㅋ 3번먹으니 사라지네요~ 그래도 싼맛에 맛있게 잘마셨어요~~
17,커피나인-이태원점,2021년 12월 9일,5,5,1,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),샷추가/5
          ","커피맛은 굿!
배달은 진찌최악 도착예정보다 여기저기들리며 40분늦게왓네요"
18,커피나인-이태원점,2021년 12월 9일,3,3,1,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),너츠라떼/1(HOT or ICE 선택(ICE))
          ","사실  저는
 1ㆍ 첫번째로  커피향과  깊이ᆢ차가운커피인데도  여기에  커피9은   아침을  열어주듯  힐링되게해서  넘  좋아해요
2ㆍ 제가  커피을  좋아하는데도  아이스을  주문하는건  얼음때문이예요ㆍ일하면서  마시는  청량감이  깊은커피향과  가슴을  내리는  시원함이있어요
오늘은  얼음도  다녹아서  화가나고ㆍ배달도  둘러둘러  오는바람에  함께마실  친구도  바빠서  그냥갔네요
오늘은  커피까지  마실기분이아니군요"
19,커피나인-이태원점,2021년 12월 5일,5,5,1,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),달구나 라떼/1(추가 선택(덜달게))
          ",맛있어요
20,커피나인-이태원점,2021년 12월 4일,3,5,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),라떼/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",시럽 부탁드렸는데 요청사항을 확인하지 않으시나 보네요ㅠ 다음부턴 신경써 주세요
21,커피나인-이태원점,2021년 12월 2일,5,3,5,"
            아메리카노/1(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(HOT)),아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(HOT))
          ",빠른배송 뚜거운 커피 다 좋은네 양이 그리 많진 않네요.. 넘칠까봐 그러는거 같으신데..가서 사야 많이 주나.. 무료배송이니 조동이 닫고 있어야..ㅎㅎ
22,커피나인-이태원점,2021년 11월 30일,5,5,3,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),너츠라떼/1(HOT or ICE 선택(ICE))
          ","칭구만나러가는  시간ᆢ예쁜  칭구랑  한컷ᆢ
바람  넘  심하네ᆢ
그래도  집가면  커피나인이  있으니  영~~~~차
도착전에  주문~~~^^"
23,커피나인-이태원점,2021년 11월 26일,5,5,2,"
            아메리카노/2(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),너츠라떼/1(HOT or ICE 선택(ICE))
          ","너~~~~~무  맛나요
오늘   또  주문요~~~~"
24,커피나인-이태원점,2021년 11월 24일,1,1,1,"
            아메리카노/6(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE)),바닐라 라떼/2(메뉴 선택(코코나인（고소함,부드러운,베리류의산미）),HOT or ICE 선택(ICE))
          ",아이스 바닐라라떼를 시켰는데 핫으로 왔네요;; 그리고 뭐 전화 할 방법도 없고 가게는 닫았고 당황스럽네요
25,커피나인-이태원점,2021년 11월 16일,5,5,1,"
            아메리카노/1(메뉴 선택(이태원（진한,긴여운,다크초콜릿）),HOT or ICE 선택(ICE)),샷추가/3,나인슈페너/1(HOT or ICE 선택(ICE))
          ","양도 많고 맛나네용! 
다만 배달이... 한곳에서 10분넘게 멈춰잇더라고요"
26,커피나인-이태원점,2021년 11월 6일,3,3,3,"
            나인슈페너/1(HOT or ICE 선택(ICE))
          ",오늘 크림은 너무 없네요 크림이 이렇게 적으면 그냥 라떼를 시켰을것같은데요 ㅠ 최근 거의 매일 시켰는데 역대급으로 적은 크림 .. 가게에 무슨일 있었나요 ? 두번째 사진이 원래 먹던 나인슈패너인데 확연히 달라요
27,커피나인-이태원점,2021년 10월 29일,5,5,1,"
            나인슈페너/1(HOT or ICE 선택(ICE))
          ",아인슈패너 크림이 커피랑 다 섞여서 라떼가 되어 도착해서 아쉽지만 그래도 맛은 있네요 !!! 자주 시킬것같아요 ㅎㅎ
