,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
0,스쿨푸드-종로점,2022년 3월 15일,3,5,5,"
            （특）대창구이덮밥/1,중독양념만두/1,삶은계란/1
          ","실수가 있었으나 주인분 대처가 좋으셨습니다

잊을수없는맛이에요
꼭 시켜드세요"
1,스쿨푸드-종로점,2022년 3월 15일,5,5,1,"
            모짜렐라 스팸계란마리/2,오리지널 스팸마리/2,통새우마리/1,듬뿍야채 쫄쫄면/1
          ","배달 싹퉁머리
음식은 언제나 굳"
2,스쿨푸드-종로점,2022년 3월 10일,2,5,4,"
            （특）대창구이덮밥/2,유자 쏘이 치킨/1
          ",덮밥 와사비 반 고추 반임. 매워 죽을뻔했움.
3,스쿨푸드-종로점,2022년 2월 8일,3,4,5,"
            모짜렐라 스팸계란마리/1,스패니쉬 오징어 먹물마리/1,쟁반국떡/1,옛날 김치볶음밥/1
          ",스팸마리 추천추천입니다 짱맛탱
4,스쿨푸드-종로점,2022년 2월 6일,3,3,3,"
            모짜렐라 스팸계란마리/1,순대/1,코카콜라 제로（캔）/2
          ",김밥이 딱딱하게 굳어서 옴
5,스쿨푸드-종로점,2022년 2월 2일,2,4,1,"
            모짜렐라 스팸계란마리/1,장조림 버터비빔밥（간장맛）/1
          ","배달 예상시간보다 늦게 도착하였으며 마리 소스 누락해서 재요청하였으나 배달인원이 없다고 연락받아 없이 먹었습니다
다 식어서 왔으며 스팸은 색깔이 오래된 느낌에 딱딱하네요 
오랜만에 시켜먹었는데 상당히 별로였습니다"
6,스쿨푸드-종로점,2022년 1월 25일,3,3,1,"
            오리지널 스팸마리/2,스패니쉬 오징어 먹물마리/2,까르보나라 파스타 떡볶이/2,매운 까르보나라 파스타 떡볶이/2,장조림 버터비빔밥（간장맛）/2,듬뿍야채 쫄쫄면/2,중독양념만두/3,코카콜라（캔）/1,웰치스 딸기 （캔）/1,웰치스 포도 （캔）/2,환타 파인 （캔）/2
          ","9층이라고 주소를 썼는데 왜 비도 오는데 로비 바깥에서 기다리고 계신지 모르겠네요 
전화도 안하시고 계산도 안했는데 두고 가냐고 문자보내시고여 
그냥 두고 가시라고 할걸"
7,스쿨푸드-종로점,2022년 1월 17일,1,4,4,"
            （특）대창구이덮밥/1
          ","대창 진짜 못 먹겠어요 
구이가 오래 된 것 같아요 
soooo bad"
8,스쿨푸드-종로점,2022년 1월 9일,3,4,5,"
            옛날 김치볶음밥/1,중독양념만두/1
          ",먹을만해요. 배달은 빨랐는데 맛이 보통이에요.
9,스쿨푸드-종로점,2022년 1월 4일,2,4,3,"
            모짜렐라 스팸계란마리/1,길거리표떡볶이/1
          ","맵고단 떡볶이 
달기만한 김밥
기대이하네요"
