,업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
0,스쿨푸드-종로점,2022년 3월 15일,5,5,1,"
            모짜렐라 스팸계란마리/2,오리지널 스팸마리/2,통새우마리/1,듬뿍야채 쫄쫄면/1
          ","배달 싹퉁머리
음식은 언제나 굳"
1,스쿨푸드-종로점,2022년 3월 10일,2,5,4,"
            （특）대창구이덮밥/2,유자 쏘이 치킨/1
          ",덮밥 와사비 반 고추 반임. 매워 죽을뻔했움.
2,스쿨푸드-종로점,2022년 2월 2일,2,4,1,"
            모짜렐라 스팸계란마리/1,장조림 버터비빔밥（간장맛）/1
          ","배달 예상시간보다 늦게 도착하였으며 마리 소스 누락해서 재요청하였으나 배달인원이 없다고 연락받아 없이 먹었습니다
다 식어서 왔으며 스팸은 색깔이 오래된 느낌에 딱딱하네요 
오랜만에 시켜먹었는데 상당히 별로였습니다"
3,스쿨푸드-종로점,2022년 1월 25일,3,3,1,"
            오리지널 스팸마리/2,스패니쉬 오징어 먹물마리/2,까르보나라 파스타 떡볶이/2,매운 까르보나라 파스타 떡볶이/2,장조림 버터비빔밥（간장맛）/2,듬뿍야채 쫄쫄면/2,중독양념만두/3,코카콜라（캔）/1,웰치스 딸기 （캔）/1,웰치스 포도 （캔）/2,환타 파인 （캔）/2
          ","9층이라고 주소를 썼는데 왜 비도 오는데 로비 바깥에서 기다리고 계신지 모르겠네요 
전화도 안하시고 계산도 안했는데 두고 가냐고 문자보내시고여 
그냥 두고 가시라고 할걸"
4,스쿨푸드-종로점,2022년 1월 17일,1,4,4,"
            （특）대창구이덮밥/1
          ","대창 진짜 못 먹겠어요 
구이가 오래 된 것 같아요 
soooo bad"
5,스쿨푸드-종로점,2022년 1월 4일,2,4,3,"
            모짜렐라 스팸계란마리/1,길거리표떡볶이/1
          ","맵고단 떡볶이 
달기만한 김밥
기대이하네요"
6,스쿨푸드-종로점,2021년 12월 27일,4,4,2,"
            통살등심돈카츠마리/1,신비콩나물국밥/1,코카콜라 제로（캔）/1
          ",배달 느리고 배달하시는 분이 ㅜㅜ 다른 음식을 주고 가셨지만 여차저차 교환했습니다
7,스쿨푸드-종로점,2021년 12월 19일,5,4,2,"
            스페셜마리 Ⅰ/1,매운 까르보나라 파스타 떡볶이/1
          ",맛있어요~ 근데 회사에서 점심시간에 시켰는데 배달이 너무 늦었어요 11시13분에 주문랬는데 12시20분이 넘어 도착했네요
8,스쿨푸드-종로점,2021년 12월 10일,4,4,1,"
            베스트 SET 1/1,참치마리/1
          ","우동이 거의 볶음면 수준으로 뿔어서왔네요..
어쩐지 배달이 좀 늦더라니 
도착시간 10분지나서 그냥 밖에 나가서 기사님 10분동안 기다렸는데 저 밖에 나와있는거 못보셨는지 바로 옆 딴집에 배달갔다가 제가 소리치니까 그제야 다시 오셔서 주고 가셨어요. 근데 죄송하다는 말 한마디 없이 제가 “부르는거 못들으셨어요?” 하니까 썩은 표정으로 “네” 한마디 하고 가버리네요. 늦었으면 사과라도 하시지 배달기사 누구인지 좀 교육 좀 시키세요…"
9,스쿨푸드-종로점,2021년 12월 3일,1,5,1,"
            스페셜마리 Ⅱ/1,95.7% 어묵우동/1,순대/1
          ",전반적으로 매콤했어요.
10,스쿨푸드-종로점,2021년 12월 1일,2,3,3,"
            모짜렐라 스팸계란마리/1,돼지목살김치찜/1
          ",스팸마리 계란 넘 익혀서 까매요 김치찜은 맛있어요
11,스쿨푸드-종로점,2021년 11월 18일,2,1,4,"
            돼지목살김치찜/1,중독양념만두/1,쫀득고구마치즈볼/1,코카콜라（캔）/1
          ",고기가..3개만 들어있는데ㅜㅠ좀 아쉬워요
