업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
공차-명동역점,6일 전,5,5,5,"
            우롱 밀크티 J/1(TOPPINGS(코코넛x2),SUGAR(50%),COLD(COLD),ICE(Less Ice)),아메리카노 LARGE/1(TOPPINGS(펄),SUGAR(0%))
          ",배달도 짱 빠르고 요청사항도 잘 들어주셔서 잘 먹었어요 !!!
공차-명동역점,2022년 3월 16일,5,4,5,"
            타로 밀크티 ＋ 펄 J/1(SUGAR(100%),COLD(COLD),ICE(Regular Ice)),타로 밀크티 ＋ 펄 J/1(SUGAR(70%),COLD(COLD),ICE(Regular Ice))
          ",공차 맛있어요
공차-명동역점,2022년 3월 15일,5,5,5,"
            딸기 쥬얼리 밀크티/1(TOPPINGS(화이트펄),SUGAR(50%),COLD(COLD)),얼그레이 밀크티 J/1(TOPPINGS(화이트펄),SUGAR(50%),COLD(COLD),ICE(Regular Ice))
          ",맛있어요. 최고 굿
공차-명동역점,2022년 3월 8일,5,5,5,"
            블랙밀크티 ＋펄 L/1(SUGAR(50%),COLD(COLD),ICE(Less Ice)),브라운슈가 쥬얼리 밀크티/1(TOPPINGS(펄),COLD(COLD)),진한 초코칩 쿠키/1
          ",너무 맛있게 잘 먹었어요
공차-명동역점,2022년 3월 5일,5,5,5,"
            타로 밀크티 ＋ 펄 L/1(TOPPINGS(알로에),SUGAR(30%),COLD(COLD),ICE(Full Ice)),하동 호지 밀크티 ＋ 펄 L/1(TOPPINGS(알로에),SUGAR(30%)),브라운슈가 치즈폼 스무디/1(TOPPINGS(알로에),COLD(COLD))
          ",늦은 시간 배달 감사합니다
공차-명동역점,2022년 3월 5일,5,5,5,"
            딸기 쥬얼리 밀크티/1(SUGAR(70%),COLD(COLD)),초콜렛 밀크티 J/1(TOPPINGS(펄),SUGAR(70%),COLD(COLD),ICE(Regular Ice))
          ",공차 언제나 맛있구 배달도 빨라서 좋네요ㅎㅎ
공차-명동역점,2022년 3월 4일,5,5,5,"
            딸기 쥬얼리 밀크티/4(SUGAR(30%),COLD(COLD))
          ","공차야 모 항상 맛있죠
잘먹었습니다"
공차-명동역점,2022년 3월 3일,5,5,3,"
            블랙밀크티 ＋펄 L/1(TOPPINGS(펄),SUGAR(70%),COLD(COLD),ICE(Less Ice)),브라운슈가 쥬얼리 밀크티/1(COLD(COLD))
          ",배달은 좀 … 그래도 맛있긴 하네요. ㅎㅎㅎ
공차-명동역점,2022년 2월 28일,5,5,5,"
            제주그린밀크티＋펄 L/1(SUGAR(50%),COLD(COLD)),초당옥수수 팝핑 스무디 L/1
          ",먹다 남은걸 찍긴 했지만 양도 넉넉하고 맛있어요
공차-명동역점,2022년 2월 26일,5,5,5,"
            브라운슈가 쥬얼리 밀크티/1(COLD(COLD)),딸기&요구르트크러쉬/1(COLD(COLD))
          ",👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
공차-명동역점,2022년 2월 26일,5,5,5,"
            브라운슈가 쥬얼리 밀크티/1(COLD(COLD)),딸기&요구르트크러쉬/1(COLD(COLD))
          ",👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
공차-명동역점,2022년 2월 21일,5,5,5,"
            타로 밀크티 ＋ 펄 J/1(SUGAR(100%),COLD(COLD),ICE(Less Ice)),딸기 쿠키 스무디/1(TOPPINGS(화이트펄),COLD(COLD))
          ",역시 공차는 공차 믹고 먹어요!!
공차-명동역점,2022년 2월 21일,5,5,4,"
            제주그린밀크티＋펄 L/1(SUGAR(100%),COLD(COLD)),망고 스무디 L/1(TOPPINGS(코코넛),COLD(COLD))
          ",좋아요 근데 배달원분이별로에요
