업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
더치앤빈커피 안암점,2022년 3월 19일,5,5,4,"
            바닐라라떼（Best）/1(Ice or Hot(Ice)),라떼（500mL보틀 ）/1(메뉴 선택(바닐라라떼))
          ",배달은 좀 늦었지만 맛있게 잘 마셨습니다
더치앤빈커피 안암점,2022년 3월 18일,5,5,5,"
            옛날 와플/1(추가선택(사과잼 생크림 와플)),글레이즈드 도넛/1,스윗 화이트 도넛/1,학교앞 국물 컵볶이/1,마카다미아 쿠키/1,바닐라라떼（Best）/1(Ice or Hot(Ice)),1L 아메리카노（Only Ice）/1
          ",맛있어요!! 특히 바닐라라떼가 맛있네요 와플이랑 떡볶이도 맛있습니다 단 거 땡겼는데 덕분에 컨디션 회복했어요 다음에도 또 시켜 먹을게요~~!
더치앤빈커피 안암점,2022년 3월 16일,5,5,5,"
            마카다미아 쿠키/2,더치커피/1(Ice or Hot(Ice),Extra 추가(사이즈업))
          ",맛있게 잘 먹었습니당
더치앤빈커피 안암점,2022년 3월 13일,5,5,5,"
            옛날 와플/1(추가선택(사과잼 생크림 와플)),학교앞 국물 컵볶이/1,1L 카페라떼（Only Ice）/1
          ","오랜만에 시켰는데 여긴 와플이랑 떡볶이가 너무 맛있어요~ 
물론 커피도 맛있구요~"
더치앤빈커피 안암점,2022년 3월 3일,5,5,5,"
            아메리카노/4(Ice or Hot(Ice))
          ",배달빠르고맛있었어요bbb
더치앤빈커피 안암점,2022년 2월 27일,5,5,5,"
            연유라떼（돌체라떼）/1(Ice or Hot(Ice)),유자티/1(Ice or Hot(Hot)),자몽티/1(Ice or Hot(Ice)),자몽티/1(Ice or Hot(Hot))
          ",코로나때문에 카페 가기가 꺼려져서 배달시켜 먹었는데 포장도 정성스럽게 해주시고 맛있었습니다~! 급하게 먹느라 사진을 못 찍었네요 ㅠ 서비스로 주신 아메리카노도 감사함니다 !
더치앤빈커피 안암점,2022년 2월 11일,5,5,5,"
            옛날 와플/1(추가선택(사과잼 생크림 와플)),학교앞 국물 컵볶이/1
          ",커피랑 와플 떡볶이 모두 완벽..☺️
더치앤빈커피 안암점,2022년 2월 5일,5,5,5,"
            연유라떼（돌체라떼）/1(Ice or Hot(Ice)),옛날 와플/1(추가선택(사과잼 생크림 와플)),학교앞 국물 컵볶이/1
          ","더치앤빈 커피가 맛있는 집인줄 알았는데 디저트나 분식도 잘 하는 집이네요(ღ•͈ᴗ•͈ღ)
커피는 말할 것도 없이 정말정말 맛있어요 거슬리는 맛 없이 깔끔히 단 돌체라떼 맛!
제가 놀란건 떡볶인데 소스가 진짜 맛있어요 제가 불닭도 매워하는 맵찔인데 제 입맛에 매콤한 정도고 정말 학교앞 떡볶이같이 감칠맛도 나요!
와플은 기대했던 딱 그 맛이고 생크림이 느끼하지 않고 손에 묻어도 기름기가 남는게 아닌 잘 지워지는 생크림이라 더 부드럽고 맛있어요
항상 보기만 하다가 처음 시켜봤는데 이제 여기 믿고 주문할거같아요! 잘먹었습니다◡̈"
더치앤빈커피 안암점,2022년 1월 21일,5,5,5,"
            카페라떼/1(Ice or Hot(Ice)),카카오라떼/1(Ice or Hot(Ice),Extra 추가(사이즈업))
          ",너무 맛있어요!!!!
더치앤빈커피 안암점,2022년 1월 19일,5,5,5,"
            옛날 와플/1(추가선택(사과잼 생크림 와플)),학교앞 국물 컵볶이/1
          ",떡볶이 와플 너무 맛있어욤☺️ 커피도 감사합니다! 찐하고 최곱니다 새해복많이받으세요!!
