업체명,날짜,맛,양,배달,주문메뉴,상세리뷰
대한칡냉면&돈까스,1시간 전,5,5,5,"
            돈까스1P＋비빔냉면/1(사이즈 선택(기본)),공기밥/1,함박스테이크2P/1
          ",배달 진짜 빨리왔어요 돈까스맛집이네요
대한칡냉면&돈까스,1시간 전,5,5,5,"
            돈까스1P＋물냉면/1(사이즈 선택(기본)),비빔냉면＋갈비만두4개/1(사이즈 선택(기본))
          ","맛나서 사진도 못찍었네요 
국물도 시원하고 속이 풀렸음ㅎㅎ"
대한칡냉면&돈까스,6시간 전,5,5,5,"
            물냉면/1(사이즈 선택(기본)),돈까스1P＋물냉면/1(사이즈 선택(기본))
          ",항상 맛있게 먹고있습니다
대한칡냉면&돈까스,7시간 전,5,5,5,"
            물냉면/1(사이즈 선택(기본)),생선까스/1(옵션 선택(정식),추가선택(꼬마우동 추가))
          ",잘먹었습니다. 추천합니다 ^^
대한칡냉면&돈까스,어제,5,5,5,"
            물냉면/1(사이즈 선택(곱배기)),돈까스1P＋물냉면/1(사이즈 선택(기본))
          ",맛있어요 ㅎㅎㅎㅎㅎ
대한칡냉면&돈까스,어제,5,5,5,"
            돈까스1P＋비빔냉면/1(사이즈 선택(기본)),함박스테이크2P/1
          ",돈까스도 맛있고 냉면도 맛있고 함박스테이크까지 맛있어요 비빔냉면 시켜도 냉육수 함께오는게 정말 좋아요!!! 양념 비빌때 육수 넣어서 비비면 면이 잘 풀어집니다. 비빔으로 먹다가 양념물냉면으로 먹으면 행복
대한칡냉면&돈까스,어제,5,5,5,"
            돈까스1P＋물냉면/1(사이즈 선택(기본)),돈까스1P＋비빔냉면/1(사이즈 선택(곱배기))
          ",제대로된 냉면이라는 느낌 굳!
대한칡냉면&돈까스,어제,5,5,5,"
            물냉면/2(사이즈 선택(기본))
          ",냉면이 진짜 맛있었어요! 저희 집이 조금 멀어서 면이 많이 붙어서 먹기 쉽지 않았지만 냉면 자체는 정말 맛있게 먹었습니다!
대한칡냉면&돈까스,어제,5,5,4,"
            돈까스1P＋매운물냉면/1(사이즈 선택(곱배기)),함박스테이크2P/1
          ",맛있었어요
대한칡냉면&돈까스,어제,5,5,5,"
            비빔냉면/1(사이즈 선택(기본)),생선까스/1(옵션 선택(단품)),김치왕만두/1
          ","배달은 빨랐고
만두도 생선까스도 좋았는데
냉면은 너무 말랐어요 면이 딱딱해요"
대한칡냉면&돈까스,어제,5,5,5,"
            물냉면/1(사이즈 선택(기본)),비빔냉면/1(사이즈 선택(곱배기))
          ",맛있어요!!!! 기사님도 너무 친절하시고 맛있어요. 육수가 넉넉해서 좋았어용
대한칡냉면&돈까스,2일 전,4,5,5,"
            물냉면＋갈비만두4개/2(사이즈 선택(기본))
          ",면은 조금많이 떡이되서 진짜 떡먹듯이 입으로 잘라먹었음 그외에는 만두도 괜찮고 육수도 맛있었음
대한칡냉면&돈까스,2일 전,5,5,5,"
            돈까스1P＋비빔냉면/1(사이즈 선택(곱배기),추가선택(매운양념장소스 추가,냉육수 추가))
          ",맛있게 먹었습니다 ㅎㅎ
대한칡냉면&돈까스,2일 전,5,5,5,"
            매운 비빔냉면/1(사이즈 선택(곱배기)),로스까스（등심）/1(옵션 선택(단품))
          ",음식에 대한 솔직한 리뷰
대한칡냉면&돈까스,2일 전,5,5,5,"
            돈까스1P＋물냉면/1(사이즈 선택(기본)),돈까스1P＋비빔냉면/1(사이즈 선택(기본))
          ",맛있게 잘 먹었어요 ~.
대한칡냉면&돈까스,2일 전,5,5,5,"
            물냉면/1(사이즈 선택(기본)),매운물냉면＋왕만두2개 /1(곱배기(곱배기))
          ",맛있어요 ㅎㅎㅎ요청 들어쥬셔서 감사합니다.
대한칡냉면&돈까스,2일 전,5,5,5,"
            돈까스1P＋물냉면/1(사이즈 선택(기본)),함박2P＋비빔냉면/1
          ",맛있게 잘 먹었습니다
대한칡냉면&돈까스,3일 전,5,5,1,"
            돈까스1P＋비빔냉면/2(사이즈 선택(기본))
          ","돈까스+비빔냉면을 주문했습니다.
11시04분 도착예정인데
11시45분에 수령했네요.
딱 봐도 불어터져서ㅜㅜ 입맛이 뚝 떨어졌습니다.

근데 같이 보내주신 냉육수 살짝 붓고
살살 풀어보니 풀리네요!
배달기사님이 찾기 힘드셨나봐요 ㅋ

요즘 악플러들도 많아서 힘드실텐데
주문한지 한시간이 훨씬 넘어서 받아도
맛있게 잘 먹었습니다. 
사업 번창하세요^^"
대한칡냉면&돈까스,3일 전,5,5,5,"
            물냉면/1(사이즈 선택(기본)),비빔냉면/1(사이즈 선택(기본)),돈까스1P＋비빔냉면/1(사이즈 선택(기본))
          ","냉면 맛있게 잘 먹었습니다
냉면도 냉면인데 돈까스가 너무 맛있었어요
돈까스 전문점 퀄리티"
대한칡냉면&돈까스,3일 전,5,5,5,"
            돈까스1P＋매운비빔냉면/1(사이즈 선택(기본)),로스까스（등심）/1(옵션 선택(단품))
          ",오랜만에 먹었는데너무 언제나 굿이네용~~
대한칡냉면&돈까스,3일 전,5,5,5,"
            물냉면/1(사이즈 선택(기본)),돈까스1P＋물냉면/1(사이즈 선택(기본))
          ","너무 맛있어요 
잘 먹었어요^"
