업체명,맛,양,배달,주문메뉴,상세리뷰
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(공기밥 2개),추가 선택 메뉴(공기밥,군만두5개))
          ",맛있게 잘 먹었어요~!
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(공기밥 2개),추가 선택 메뉴(당면사리))
          ","둘이먹기에 너무 많아서 남기고 저녁에도 먹을려고요
근데 당면 사리는 너무 양이적었어요
맛은 최고였습니다 다시 또 주문할게요"
별대봉식당,5,5,5,"
            매콤떡도리탕/1(메뉴 선택(옛날도시락＋김))
          ",진짜 먹으면서 아 맛있다 연발하면서 먹다가 너무 감동해서 숟가락 내려놓고 리뷰먼저써요.. 매콤하고 떡도 부드럽도 양도많고 엄마밥처럼 잡채에 햄에 만두에 이것저것 챙겨주실꺼 다 챙겨주시고.. 진짜 손님을 생각하는 사장님의 마음 너무 잘 전해집니다.. 왜 지금알았을까요 전 여기를 ㅠㅠ 사장님 자주봬요♡
별대봉식당,5,5,5,"
            두칸도시락 매콤대패삼겹/1
          ","맛있어요!!
도시락밥도, 고기도, 잡채도 최고입니다!!!
넉넉하게 배부르게 잘먹었습니다"
별대봉식당,5,5,5,"
            참치짜글이/1(메뉴 선택(옛날도시락＋김)),공기밥/3
          ",빠른배달 양도많구 맛도 좋아요
별대봉식당,5,5,5,"
            순살닭도리탕/1(메뉴 선택(옛날도시락＋김))
          ",이렇게 많이 주시면 뭐가 남으시는거죠..? 너무 맛있고 잘 먹었습니다. 번창하시면 좋겠어요! 아 그리고 감자는 조금 더 익혀서 오면 좋을 것 같아요!
별대봉식당,5,5,5,"
            고구마찜닭/1(메뉴 선택(옛날도시락＋김))
          ","할인쿠폰 사용하려고 주문했는데 와~~~ 진짜진짜 푸짐하고 맛있어서 깜놀했어요~^^
넘 맛있게 잘 먹었습니다~ 
또 주문해야겠어요~ ㅎㅎ"
별대봉식당,5,5,5,"
            순살닭도리탕/1(메뉴 선택(옛날도시락＋김))
          ",맛있게 잘 먹었습니다!!
별대봉식당,5,5,5,"
            참치짜글이/1(메뉴 선택(공기밥 2개))
          ","잘~~~  먹었습니다.
또 시키겠습니다"
별대봉식당,5,5,5,"
            두칸도시락 제육볶음/1
          ",너무 맛있어요! 재주문할게욥
별대봉식당,5,5,5,"
            두칸도시락 순살칠리치킨/1
          ","와양도어마어마하고
너무너무 맛있습니다
치킨도시락인데 무슨 치킨한마리가들어가있네요
야간근무중 배고파서 시켰는데
너무만족합니다"
별대봉식당,5,5,5,"
            매콤떡도리탕/1(메뉴 선택(옛날도시락＋김))
          ",맛있게 잘 먹었습니다. ^^
별대봉식당,5,5,5,"
            순살닭도리탕/1(메뉴 선택(옛날도시락＋김),추가 선택 메뉴(옛날도시락))
          ",왜 이제 알았을까요.. 너무맛있어요♡♡
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(공기밥 2개))
          ","따듯한 삼겹짜글이 맛있게 먹었어요 
계란후라이 맛있어요"
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(옛날도시락＋김))
          ",우악 깜빡하고 리뷰이벤트 안해서 만두 없어서 매워 죽을뻔 했어요ㅠ 여기는 이 메뉴가 짱인듯. 아니면 제육된장?
별대봉식당,5,5,5,"
            순살닭도리탕/1(메뉴 선택(옛날도시락＋김),추가 선택 메뉴(떡사리))
          ",우와 서비스 너무 좋아요 ㅠ 닭도리탕도 카레향 나면서 맛있어요! 자주 시켜먹을게요!!
별대봉식당,5,5,5,"
            두칸도시락 대패삼겹간장마늘/2
          ",최고      !!
별대봉식당,5,5,5,"
            두칸도시락 순살칠리치킨/1,계란후라이/2
          ",그동안 잘 먹었습니다 제가 이사를 가게되서.. 최고였어요
별대봉식당,5,5,5,"
            두부삼겹/1(메뉴 선택(옛날도시락＋김))
          ",에고 진짜 맛있게 잘먹었는데 사진 찍은줄 알았는데 없네요. 죄송합니다. 진짜 잘 먹었습니다~~
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(옛날도시락＋김))
          ",맛이 좋습니다~| 굿
별대봉식당,5,5,5,"
            제육콩나물밥/1(추가 선택 메뉴(계란후라이))
          ",맛있게 잘 먹었습니다
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(공기밥 2개))
          ",따듯한 삼겹짜글이 맛있게 먹었어요
별대봉식당,5,5,5,"
            순살닭도리탕/1(메뉴 선택(공기밥 2개),추가 선택 메뉴(공기밥))
          ",오늘도 맛있게 잘 먹었습니다!
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(옛날도시락＋김)),처음처럼/1
          ","오랜만에 먹어도 변함없는 맛집
자주 애용합니다."
별대봉식당,5,5,5,"
            닭도리탕/1(메뉴 선택(공기밥 2개),추가 선택 메뉴(공기밥,당면사리))
          ",진짜 너무너무맛있게잘먹었어요 사진은 배고파서..오자마자다먹어서 못찍었네요
별대봉식당,5,5,5,"
            삼겹짜글이 /1(메뉴 선택(옛날도시락＋김),추가 선택 메뉴(공기밥,라면사리))
          ","맛있게 잘 먹었습니다ㅎㅎ
양이 진짜 많네요"
별대봉식당,5,5,5,"
            순살닭도리탕/1(메뉴 선택(공기밥 2개))
          ",맛맀게먹었어용~!~!~!~! ㅎㅎ
