업체명,맛,양,배달,주문메뉴,상세리뷰
남경중화요리-남대문시장점,4,4,4,"
            해물볶음짜장/1(곱배기 추가 선택(곱배기 추가)),삼선차돌짬뽕/1
          ",잔짜 푸짐하고 엄청 맛나
남경중화요리-남대문시장점,5,5,5,"
            마파두부덮밥/1,사천매운짬뽕밥/1
          ",따끈따끈 후끈후끈 맛있는 마파두부
남경중화요리-남대문시장점,5,5,5,"
            쟁반짜장/1,잡채밥/1
          ",새벽에 중식이 땡길땐 남경이 유일하지만 그래도 아쉽지않은 맛과양이라 만족스러워요
남경중화요리-남대문시장점,5,5,5,"
            탕수육 0셋트（미니 탕수육＋옛날짜장）/1
          ",배달 짱빨라요 놀랬어요 ㅎㅎ
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 3 사천탕수육 or 탕수육＋ 볶음밥 ＋ 면류/1(탕수육 선택(사천탕수육),면류 선택(짜장),김치 선택(김치 필요없음))
          ",배달도빠르고 양도많고 맛있습니다♥
남경중화요리-남대문시장점,5,5,5,"
            공기밥/2,탕짬면/1
          ",역시 볶음짬뽕 입니다!
남경중화요리-남대문시장점,5,5,5,"
            탕짜면/1,콜라/1
          ",항상 잘 먹고 있습니다
남경중화요리-남대문시장점,5,5,5,"
            탕짬면/1,사이다/1
          ",맛있고 양도 많아서 배부르게 먹고 있어요
남경중화요리-남대문시장점,5,5,5,"
            짜장면/1(곱배기 추가 선택(곱배기 추가)),쟁반짜장/2(곱배기 추가 선택(곱배기 추가)),탕수육/1(탕수육 사이즈 선택(중))
          ",맛있게 잘먹었습니다^^
남경중화요리-남대문시장점,5,5,5,"
            탕짬면/1,사이다/1
          ",탕짬면 굳입니다 ㅎㅎ
남경중화요리-남대문시장점,5,5,5,"
            공기밥/2,탕짜면/1
          ",항상 잘 먹고 있습니다~ㅎ
남경중화요리-남대문시장점,4,4,4,"
            혼밥 메뉴 3 사천탕수육 or 탕수육＋ 볶음밥 ＋ 면류/1(탕수육 선택(사천탕수육),면류 선택(짜장),김치 선택(김치 필요없음)),콜라/1
          ",빠른 배달서비스 좋아용
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 1 깐풍기 ＋ 볶음밥 ＋ 면류/1(면류 선택(짬뽕),김치 선택(김치 필요없음))
          ",심야에 야식시킬때 여기만한곳이 읍기는 하죠
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 1 깐풍기 ＋ 볶음밥 ＋ 면류/1(면류 선택(짬뽕),김치 선택(김치 필요함))
          ","맛있어요^^
잘먹었습니다~"
남경중화요리-남대문시장점,2,2,5,"
            탕볶밥/1,콜라/1
          ",별점4.3에는 이유가 있다. 개인적으로 별점 2 3점이나 4.3점이나 별차이 없는듯
남경중화요리-남대문시장점,5,5,5,"
            공기밥/1,탕짜면/1(곱배기 추가 선택(곱배기 추가))
          ",양도 많고 너무 맛있어요ㅠㅠ
남경중화요리-남대문시장점,5,5,5,"
            쟁반짜장/1,탕수육 00셋트（미니 탕수육＋짬뽕）/1
          ","롯데호텔에서 숙박할때마다 여기서 시켜먹어용^^
최고에요"
남경중화요리-남대문시장점,5,5,5,"
            볶짜면/1(곱배기 추가 선택(곱배기 추가)),볶짬면/1
          ","아니 리뷰에 양이 적다고 쓰여있어서고 빼기 시켰는데 포장 용기 깊이가 왜 이렇게 깊은거임?
배 터지네 양 많아서"
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 3 사천탕수육 or 탕수육＋ 볶음밥 ＋ 면류/1(탕수육 선택(탕수육),면류 선택(짜장),김치 선택(김치 필요함))
          ",사장님 진짜 감사해요 볶음밥으로 바꿔주시고 양도 많이 주시고..! 주문 요청 하나하나 잘 들어주셔서 죄송할정도에요..! 많이파세요 여러분 여기 두번 세번 네번 많이 시켜드세요!!
남경중화요리-남대문시장점,5,5,5,"
            삼선짬뽕밥/1,사천탕수육/1,처음처럼/2
          ",짬뽕마싯ㅅ어요 해물많고국물조음
남경중화요리-남대문시장점,5,5,5,"
            혼밥 메뉴 1 깐풍기 ＋ 볶음밥 ＋ 면류/1(면류 선택(짬뽕),김치 선택(김치 필요함)),콜라/1,테라/1
          ","혼밥세트 양많고맛있어요


#식후감"
