업체명,맛,양,배달,주문메뉴,상세리뷰
뚜레쥬르-카페이태원역점,5,5,5,"
            고소한 흑임자크림빵/1,마담 얼그레이 크림번/1,호두연유바게트/1,빵속에리얼초코/1,베이비슈（3개）/1
          ","빵도신선하고 언제나 서비스빵도 넣어주시고
맛있게 잘먹을께요~!!"
뚜레쥬르-카페이태원역점,5,5,5,"
            딸기 생크림 소보로/1,순진우유크림빵/1,NEW어니언소시지포카치아/1,새콤달콤유자파이/1,겹겹이초코퐁당/1,완두앙금빵/1
          ",배달도 엄청 빠르고 서비스까지 주시다니요❤️ 맛있게 잘 먹겠습니다 :)
뚜레쥬르-카페이태원역점,5,5,5,"
            볼로네제 미트브레드/1,로제치킨 밸런스 샌드위치/1,겹겹이 연유크림 데니쉬/1
          ","볼로네제 미트브래드 뭔가 아수운 맛 ㅠ ㅠㅎㅎ
샌드위치는 햄 안들어간 걸 찾다 주문했는데 띠용 햄이 있었네요
겹겹이 연유 데니쉬는 맛은 있지만 초큼 부담스러운 맛
잘먹었숩니당
#식후감"
뚜레쥬르-카페이태원역점,5,5,5,"
            고소한 곡물식빵/1,우리쌀 롤케이크/1
          ",깨끗하고 맛있어요.
뚜레쥬르-카페이태원역점,5,5,5,"
            미니밤식빵（소）/1,겹겹이 연유크림 데니쉬/1,슈크림빵/1,카라멜애플파이/1,못난이통팥소보로/1
          ",잘먹겠습니당^^ 감사합니당♡
뚜레쥬르-카페이태원역점,5,5,5,"
            폭신폭신 모닝롤/1,데일리우유식빵/1,빵속에리얼초코/1,후레쉬크림빵/1,리얼초코소라빵/2
          ","배달도 빠르고,
빵도 맛있어요"
뚜레쥬르-카페이태원역점,5,5,5,"
            맥앤치즈 핫도그/1,콥샐러드/1,돼지갈비고로케/1,쫄깃한찹쌀도넛/1
          ",양도 많고 맛있었습니다
뚜레쥬르-카페이태원역점,5,5,5,"
            매직모카크림빵/1,쑥떡쑥떡 콩쑥이/1,고소하고쫄깃한찹쌀브레드/1,옛날 꽈배기 도넛/1
          ",아주맛있네요 강추합니다
뚜레쥬르-카페이태원역점,5,5,5,"
            볼로네제 미트브레드/1,레드타코치킨 샌드위치/1,콥샐러드/1
          ","배달 제시간 도착
샐러드 신선"
뚜레쥬르-카페이태원역점,5,4,5,"
            매직모카크림빵/1,핫도그 패스트리/1,바통쉬크레 （5개）/1,완두앙금빵/1,초코칩스콘/1
          ","빵은 거의 뚜레쥬르에서 주문해요^^
카페이태원역점 항상 빠르게 맛난빵 배달해주셔서 감사해요~~
늘 서비스도 잊지않고 챙겨주셔서 더 감사합니다!!"
