업체명,맛,양,배달,주문메뉴,상세리뷰
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(매운맛))
          ",맛있게 잘 먹었어요 푸짐해요
중앙아구찜&탕,5,5,5,"
            살만있는 아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",배달 빠르고 맛있었습니다
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",잘먹었습니다  번창하세요
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","맛있게 먹을게요~^^
대박나세요~~"
중앙아구찜&탕,3,3,4,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(공기밥 2개))
          ",보통맛 밍밍하고 맛없어요...ㅠㅠ
중앙아구찜&탕,2,5,4,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","여기꺼만 먹고나면 속이 미식거려요ㅜㅜ왠만하면 별 다주는데 해물 상태가 영 별로입니다..
전엔 아구찜, 이번엔 해물찜이었어요"
중앙아구찜&탕,2,4,3,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛)),카스 맥주/3
          ","해물찜인데 마감시간에 주문해서 그런지
콩나물 탕을 시켰나봐요
새우3개랑 전복두개 절단 오징어 몇개
오만둥이만 몇개 ㅋㅋㅋㅋㅋㅋ
콩나물국 진짜 양만 많네요"
중앙아구찜&탕,4,4,4,"
            황제해물찜/1(맛 선택(보통맛),사이즈 선택(中))
          ",콩나물이많아서좋앗어요 ㅎㅎㅎ
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(中),맛 선택(보통맛))
          ","찜이 먹고파서 주문
이쪽동네서 첨 주문인데 맛있네요
알찜이라 알그득 고니는 몇개안되서
고니좋아하는 사람은 필수로 추가해얄듯요"
중앙아구찜&탕,4,5,4,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",다음에는 해물찜으로 먹어보겠습니등
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",3명이 먹고 남은 양ㅎㅎ맛도 양도 대박입니다.
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(中),맛 선택(보통맛)),셀프 날치알 주먹밥/1
          ",맛있게 잘 먹었습니다.
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(콩나물 추가))
          ",깜빡하고 사진을 못 찍었어요 ..ㅠㅠ 근데 너무 맛있었음. 콩나물 추가했는데 진짜 많이주셔서 감사해요!
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",오랜맛에 먹었어요~맛있어요
중앙아구찜&탕,5,5,5,"
            고니찜/1(추가 선택(알 추가),사이즈 선택(小))
          ",맛있었습니다 다음에도 잘부탁드립니다ㅡ
중앙아구찜&탕,3,2,5,"
            아구찜/1(사이즈 선택(小),맛 선택(매운맛))
          ",양 진짜 적어졌네요 *에서 자주 시켜먹고 요기요는 처음인데 같은 곳 맞나 싶어요
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(매운맛))
          ","너무 급하게 먹느라 사진이 없네요 ㅠㅠ
처음 시켜먹었는데 양도 완전많고 정말맛있어요~~"
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛)),처음처럼/1
          ","#ㅎㄴㅅㅇ
힘내세요^^~
화이팅입니다 
어려운시기죠
다함께 이겨내십시다
맛있게 해주셔서 감사히 잘먹었읍니다
대박나시고 또주문하겠읍니다
행복한 주말되세요^^~♡♡♡"
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ","저번에 너무 매워서 이번엔 안맵게 부탁드렸더니
아이들이랑 먹기 정말 딱 좋네요~~~ 맛있게 잘 먹었습니다.^^"
중앙아구찜&탕,5,5,5,"
            고니찜/1(사이즈 선택(小))
          ",맛있어요 반찬이 맛있어서 더 먹고 싶은데 추가메뉴 있었으면 좋겠어요
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(매운맛))
          ","매운맛 주문했는데 진짜 맛있게 먹었어요^^
맛있게 매워서 매운데도 계속 들어가
놀러온 지인도 맛있다고 잘먹었네요"
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",배달비 없어서 좋아요. 잘 먹었어요.
중앙아구찜&탕,5,5,5,"
            살만있는 아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",적당히 맵고 맛있네요.
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",배달도 빠르고 맛있어요
중앙아구찜&탕,1,1,5,"
            아구찜/1(사이즈 선택(大),맛 선택(보통맛))
          ",배달만 빠르고 맛도 별로고 콩나물양은 끝내주네요
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",처음 시켜봤는데 맛있어요~~
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(大),맛 선택(보통맛),추가 선택(낙지 추가))
          ","처음 시켜봤는데
너무 맛있게 잘 먹었습니다"
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",배달도 빠르고 맛있어요
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(大),맛 선택(보통맛))
          ","양도많고,맛잇게잘먹엇어요ㅎㅎ"
중앙아구찜&탕,5,5,5,"
            해물탕/1(사이즈 선택(大))
          ","제주도가서 먹은 해물탕 보다 몇배는 더 맛있었어요~ ^^
서울에서 맛보기 힘든 깊은 맛 이였습니다.
아주 잘먹었습니다. 번창하세요. ^^"
중앙아구찜&탕,4,4,5,"
            해물찜/1(사이즈 선택(大),맛 선택(보통맛))
          ",지난번에는 여러 해물이나 알이 많이 들어 있었는데.. 오늘은 게만 많이 들어 있네요.. 맛은 있었지만 조금 아쉬워서..
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","맛있게 정신없이 먹느라 사진이 없네요
정말 맛있게 잘먹었습니다~
대박나세요~"
중앙아구찜&탕,1,3,4,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",여긴  복불복인가요? 저번에는 너무매워도 간은 맞았는데 이번에는 빨간데 간이 없네요ㆍ버릴 수는 없어서 간장 소금 고추장 넣고 다시 만드네요 짜증이 확 ㅠㅠ
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",너무 맛있게 잘 먹었습니다~~~
중앙아구찜&탕,2,1,5,"
            아구찜/1(사이즈 선택(中),맛 선택(보통맛),추가 선택(알 추가,낙지 추가))
          ","아구찜 사이즈를 변경하면
콩나물만 추가하시고, 아구는 양이 그대로 오는 듯 합니다. 주말에 주문이 많아도 이런식으로 장사하시면 안될 듯 싶어요

맛을떠나서 신뢰는 기본입니다."
중앙아구찜&탕,2,3,4,"
            고니찜/1(사이즈 선택(小),추가 선택(공기밥 1개))
          ",곤이찜 시켰는데 몇몇 덩어리에서 손질이 잘 못된건지 신선도가 잘못된건지 냄새가 너무 심하게 났어요..
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(매운맛)),콜라（캔）/2
          ",잘 먹었습니다...
중앙아구찜&탕,5,4,5,"
            살만있는 아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",좋아요 잘 샀어요
중앙아구찜&탕,4,3,5,"
            살만있는 아구찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(낙지 추가)),셀프 날치알 주먹밥/1
          ",맛있게 잘먹었습니다
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",따아아아아아아아아봉bb
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","맛은 있었음
가격대비 .. soso"
중앙아구찜&탕,5,4,4,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(공기밥 2개))
          ",제 여친이 아귀찜 좋아해서 여기저기 많이 먹어봤는데 여기가 많이 맛있다고 칭찬하더라구요 많이 파세요
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(알 추가,고니 추가),추가 선택(공기밥 1개))
          ",양도 많고 맛있어요~~
중앙아구찜&탕,4,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","맛있게 먹었어요.
근데 너무 매워요 ㅜㅜ"
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(大),맛 선택(보통맛))
          ","배달오자마자  먹느라고  사진을 나중에 찍었에요
부모님도 모두 맛있다고 하네요"
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(고니 2개 추가))
          ",완전 맛있어요👏🏻👏🏻 잘먹을게요
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(매운맛),추가 선택(미더덕 추가,볶아먹는 재료（각종야채＋김가루＋참기름 등）))
          ","너무맛있어요  3번째주문인데 저번에는 미더덕에서돌이씹혔는데 오늘은 너무 굿입니다
감사합니다"
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",직접 가지도 못하는데 본 적도 없는 곳이라 남들의 리뷰도 한계가 있을 것 같고 엄마아빠생일 핑계로 코로나 이후 첨으로 어른메뉴를 주문했네요...별 어렵지도 않은 걸 아이들 못 먹는다고 치킨 피자만 먹었다는게 바보같다는... 예약시간과 싱싱함을 부탁드리느라 전화 한 통 더했는데 이미 주문 인지하고 계셨어요^^ 따끈따끈 해물찜은 안*동 맛집 물 안 좋을 때보다 훨씬 싱싱하게 맛있었습니다. 간은 세지 않고 매운 맛은 먹을수록 강해지는 맛? 콩나물덕분에 배 불렀다는 평을보고 주문했는데 역시 콩나물 아주 많이 주셨어요. 아주 좋았답니다~~~
중앙아구찜&탕,3,5,5,"
            새우찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",일단 싱겁고  콩나물이 너무 많아요 반찬가짓수도 줄고~왠지 점점 성의없어지는. 느낌;; 저번에 새우찜에오징어 다리나왔을때도 그냥 양념이 같아서 그런갑다하고 넘겼는데;;왜 성의가 없어지는 느낌일까요 ㅠ 참 좋아했는데 아쉽습니다
중앙아구찜&탕,5,5,5,"
            알찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",넘 맛있어요 다음에는 아구찜도 먹으려구요 ㅎㅎ
중앙아구찜&탕,3,4,4,"
            아구찜/1(사이즈 선택(특大),맛 선택(보통맛)),콜라（캔）/2,사이다（캔）/1
          ","양 푸짐해요 
간은 조금 더 간장을넣음 맛있을꺼같아요
보통맛인데도 매워요~~"
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(中),맛 선택(보통맛),추가 선택(콩나물 추가))
          ",양과 맛 모두 훌륭했어요~ 다음에도 주문하겠습니다.
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",오랜만에 먹었는데 여전히 정말 너무 맛있어요 진짜루 ㅠㅠb
중앙아구찜&탕,5,5,5,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",양도 많고 맛있었어요
중앙아구찜&탕,5,5,5,"
            해물탕/1(사이즈 선택(小))
          ",해물탕 너무 맛있었어요. 안에 들어간 꽃게나 오징어 전복 등 해물들도 너무 싱싱하고 국물도 너무 맛있게 싹싹 퍼먹었슴니다~!
중앙아구찜&탕,3,5,5,"
            아구찜/1(사이즈 선택(中),맛 선택(보통맛),추가 선택(낙지 추가))
          ",짜지도않고  굿이에요
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",맛있게 잘 먹었습니다~
중앙아구찜&탕,5,5,5,"
            해물탕/1(사이즈 선택(小))
          ",맛 배달 모두 추천합니다
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛),추가 선택(낙지 추가,고니 추가,볶아먹는 재료（각종야채＋김가루＋참기름 등）))
          ",맛있게 잘 먹었습니다.
중앙아구찜&탕,1,1,1,"
            아구찜/1(사이즈 선택(小),맛 선택(보통맛))
          ","다음엔 밥 이 미포함 이라고 꼭 수정해 주셨으면 좋겠어요
그래도 괜찮아요 둘이서 아구 몇점 집어 먹고 나니 다 콩나물이라 콩나물이 너무 많아서 밥없리 콩나물만 둘이 먹어도 배가 아주 부르네요 아구가 많았으면 좋았는데 콩나물이 너무 많아서 아주 밥없이 배부르게 먹었어요~ 
사장님 아구를 얼렷다가 해동 시키는 기술이 대단 하신것 같아요 쿰쿰한 냄새도 조금 밖에 안나고  너무 쫄깃 쫄깃 해서 밥 다먹고 영화 한편 보고 있는데 아직도 씹고 있어요 넘 좋아요 오랬동안 아구를 씹을수 있어서요"
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛))
          ",순한맛은 초3도 잘 먹을수있어요.
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ","메모에 임산부라 말씀 드렸더니, 와우 양이 어마어마 :D 신랑과 넘나 맛있게 잘 먹었어요❤️
아가도 냠냠 ㅎㅎ 다음에도 꼭 시켜먹을께요! 늘 건강하셔요~~*"
중앙아구찜&탕,1,1,5,"
            아구찜/1(사이즈 선택(小),맛 선택(매운맛))
          ","이건 리뷰을 어떻게 해야할지...
살다 살다 멸치국물 맛 나는
아구찜도 먹어봅니다.

메인 메뉴 아구찜이 별론데
서비스도 아무것도 없는 자신감.

가성비 0점. 반값이어도 재주문의사 1도 없음."
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",오래안에다시시켜먹었는데요?아주맛났습니다.
중앙아구찜&탕,5,5,5,"
            해물찜/1(사이즈 선택(小),맛 선택(보통맛)),셀프 날치알 주먹밥/1
          ",양도 많고 맛있어요 적당히 매콤하고~ 강추!!!
중앙아구찜&탕,5,5,5,"
            꽃게찜/1(사이즈 선택(小))
          ",맛있게 잘 먹었습니다.
중앙아구찜&탕,2,3,4,"
            아구찜/1(사이즈 선택(中),맛 선택(보통맛))
          ",전에는 맛 있었는데..아구질이 떨어지고..맛이 너무 싱거워요
중앙아구찜&탕,2,4,5,"
            고니찜/1(추가 선택(미더덕 추가,볶아먹는 재료（각종야채＋김가루＋참기름 등）),사이즈 선택(小))
          ","고니인지 오만둥이인지 중간중간돌이씹혀요.
저번이랑다르네요 ㅠ"
