업체명,맛,양,배달,주문메뉴,상세리뷰
김준현의피자헤븐-종로성대점,5,5,5,"
            （BEST）사대천왕 L/1(L 도우 선택(기본도우),음료(콜라 1.25L))
          ",맛있어요.
김준현의피자헤븐-종로성대점,5,5,5,"
            달고나 고르곤졸라 M/1(M 도우선택(기본도우),음료(선택안함))
          ",처음 먹어봤는데 단짠딘짠 맛잇엇어여!
김준현의피자헤븐-종로성대점,5,5,5,"
            （BEST）사대천왕 BIG L/1(BL 도우 선택(기본도우),음료(콜라 1.25L))
          ","제가예전에 시켜먹었었는데 예전에는좀 치즈양이나 토핑 소스 딱정형화되있는거 같았는데 그래서 한동안미스터피자나 만만한 반올림피자만 시켜먹었었는데 후회되네요 더맛있어졌어요 장사는박리다매라했죠 앞으로는 다른데 안시키고 여기로~픽~!  퀄리티유지해주세요 치즈가 씹히는맛도있고 참좋으네요 오랬만에 제대로된피자먹는거 같아요
배달기사님 직원이시죠? 친절하시던데 너무따뜻하게 잘받아서 감사히 맛있게 잘먹구있습니다 번창하시고 조만간 또주문할께요
성의있게음식해주셔서 감사합니다"
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(기본도우),음료(선택안함))
          ",잘 먹었습니다~ 너무 맛있어용!! 추천!
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 M/1(M 도우선택(씬크러스트),음료(선택안함),소스(핫소스)),핫소스/8,피클/1
          ",맛 속도 서비스 모든 면에서 만족하는 저녁 야식 한끼였습니다. 감사합니다 점주님 !
김준현의피자헤븐-종로성대점,4,5,5,"
            4이좋게 골라봐 L/1(네가지맛 메뉴선택(대만감자 L,더블포테이토 L,포테이토 L,하와이안 L),L 도우 선택(기본도우),음료(선택안함))
          ","토핑에 간이 안되어있고 감칠맛이 부족해요
그래도 무난하게 먹을만합니다"
김준현의피자헤븐-종로성대점,5,5,5,"
            더블포테이토 M/1(M 도우선택(기본도우),음료(선택안함))
          ","고구마랑 감자는 역시 옳다,, 잘먹었습니다ㅎㅎ"
김준현의피자헤븐-종로성대점,5,5,5,"
            불고기 BL（하프） ＋ BL（하프） 선택/1(하프앤하프 BL(더블치즈 BL),BL 도우 선택(기본도우),음료(선택안함))
          ",4가족이 먹기 넉넉한 양이예요
김준현의피자헤븐-종로성대점,5,5,5,"
            아메리칸스페셜 M/1(M 도우선택(기본도우),사이드 추가선택(크림갈릭볼),음료(스프라이트 500ml))
          ",너무맛있게 잘먹었어요
김준현의피자헤븐-종로성대점,5,5,5,"
            아메리칸스페셜 L/1(L 도우 선택(기본도우),음료(선택안함))
          ",따듯한 피자 맛있게 먹었습니다
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(기본도우),음료(선택안함))
          ",맛있게 잘 먹었습니다
김준현의피자헤븐-종로성대점,5,5,5,"
            핫 앤 스파이시 M/1(M 도우선택(기본도우),음료(선택안함),소스(핫소스,갈릭디핑（튜브）))
          ","맛있는 피자에 떡볶이까지!
김준현이 만든 피자 답네요 맛있습니다
M사이즈라 좀 적을까 싶었는데 딱 좋았습니다"
김준현의피자헤븐-종로성대점,4,5,5,"
            대만감자 L（하프） ＋ L（하프） 선택/1(하프앤하프 L(눈꽃치즈 스테이크),L 도우 선택(기본도우),사이드 추가선택(볼로네즈 （치즈오븐스파게티）,콘샐러드),음료(선택안함))
          ",눈꽃치즈 스테이크는 조금짰어요~ 맛있게 잘먹었습니다! 서비스 떡볶이도 맛있게 잘먹었습니다
김준현의피자헤븐-종로성대점,5,5,5,"
            달고나 고르곤졸라 L/1(L 도우 선택(기본도우),음료(선택안함)),슈퍼슈프림 L/1(L 도우 선택(기본도우),음료(선택안함))
          ",잘먹었습니다 사장님!
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 M/1(M 도우선택(치즈크러스트),음료(선택안함),소스(핫소스,치즈가루))
          ","맛 베리딜리셔스
양 가성비굿"
김준현의피자헤븐-종로성대점,5,5,5,"
            달고나 고르곤졸라 M/1(M 도우선택(기본도우),음료(선택안함))
          ","넘 맛있어요
아이도 잘 먹네요"
김준현의피자헤븐-종로성대점,5,5,5,"
            고구마스위트 L/1(L 도우 선택(기본도우),음료(선택안함))
          ","환상적으로 맛있는 피자예요!! 특히 고구마피자 최고~
먹는데 정신 팔려서 사진찍는걸 잊을정도로 너무 맛있어요"
김준현의피자헤븐-종로성대점,5,5,5,"
            헤븐스페셜 M/1(M 도우선택(기본도우),음료(선택안함))
          ",맛있어요~~~~~~
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 L/1(L 도우 선택(기본도우),음료(선택안함)),슈퍼슈프림 L/1(L 도우 선택(기본도우),음료(선택안함)),포테이토 L/1(L 도우 선택(기본도우),음료(선택안함))
          ",배달도 빠르고 맛있어요~~
김준현의피자헤븐-종로성대점,5,5,5,"
            불고기 L/1(L 도우 선택(기본도우),음료(선택안함))
          ",흠 진짜 잘하네요 이집 짱입니다
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 M/1(M 도우선택(기본도우),음료(선택안함))
          ",피자 치즈맛 많이 나서 맛있고 떡볶이 떡도 쫄깃하고 맛있어요!
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 M/1(M 도우선택(기본도우),음료(선택안함))
          ",짭잘하고 맛있어요~ 둘이 먹어도 충분해요
김준현의피자헤븐-종로성대점,5,5,5,"
            하와이안 L/1(L 도우 선택(기본도우),음료(선택안함))
          ",너무 맛있게 잘 먹었습니다!
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(기본도우),음료(선택안함))
          ","맛도 있고 양도 많아요
배달도 항상 빠른편이라 자주 시켜 먹습니다"
김준현의피자헤븐-종로성대점,5,5,5,"
            4이좋게 골라봐 L/1(네가지맛 메뉴선택(대만감자 L,더블치즈 L,더블치즈 베이컨 L,불고기 L),L 도우 선택(기본도우),음료(선택안함))
          ",잘먹었습니다. 또 시킬게요.
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 L（하프） ＋ L（하프） 선택/1(하프앤하프 L(슈퍼슈프림 L),L 도우 선택(치즈크러스트),음료(콜라 500ml))
          ",배달빠르고 맛있어요~
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(씬크러스트),음료(선택안함))
          ",피자가 넘 맛있어서 사진찍는것도 까먹고 먹다가 기억나서 찍었습니다. 피자는 여기서만 시켜먹어요 완전맛있어용
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(씬크러스트),음료(선택안함))
          ",맛잇어옹 또 시킬게요
김준현의피자헤븐-종로성대점,5,5,5,"
            더블포테이토 L/1(L 도우 선택(치즈크러스트),음료(선택안함)),핫윙（3조각）/1,갈릭디핑（튜브）/3
          ",배달이 빨라서 따뜻하게 왔어요
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(기본도우),음료(선택안함))
          ",여기서 처음 시켜먹어봤는데 무엇보다 양이 너무 만족스럽습니다 맛도 맛있었구요 서비스도 감사함니다!
김준현의피자헤븐-종로성대점,5,5,5,"
            （BEST）사대천왕 L/2(L 도우 선택(기본도우),음료(선택안함))
          ",맛이 넘 깔끔해요 치즈 이상한거 쓰는집은 계속 속이 불편한데 어머님도 드시고 속이 편안하시다네요 덕분에 잘먹었어요
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 L/1(L 도우 선택(기본도우),음료(선택안함)),콜라 1.25L/1
          ",가성비 좋고 맛있게 먹었어요.
김준현의피자헤븐-종로성대점,5,5,5,"
            （BEST）사대천왕 L/1(L 도우 선택(골드크러스트),음료(선택안함),소스(갈릭디핑（튜브）))
          ",피자헤븐은 처음 주문이라... 주문할까 말까 고민을 많이 했었는데.. 먹고 보고 깜짝 놀랐어요!!! 여태 먹어본 체인점들 보다 너무 빵이 부드럽고 토핑도 가득해서 이 가격대에  이렇게 맛있을수가 있나 싶었어요!!!! 앞으로도 고민 없이 피자헤븐 시킬거 같아요. 퇴근하고 맛있는 음식으로 하루를 잘 마무리 있게 해주셔서 감사합니다.🥰👍👍 너무너무 맛있게 잘 먹었습니다!!!👍
김준현의피자헤븐-종로성대점,5,5,5,"
            포테이토 M/1(M 도우선택(치즈크러스트),추가 토핑 M(눈꽃치즈（40g）),음료(선택안함),소스(갈릭디핑（튜브）))
          ",맛있어서 또 시켜먹네요!
김준현의피자헤븐-종로성대점,5,5,5,"
            불고기 M/1(M 도우선택(씬크러스트),음료(선택안함))
          ",너무 맛있게 잘 먹었습니다
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 BIG L/1(BL 도우 선택(기본도우),음료(선택안함),소스(핫소스,갈릭디핑（튜브）))
          ","유일한 한판 먹으면 배가차는 피자집 ㅎㅎ
맛있어요~"
김준현의피자헤븐-종로성대점,5,5,5,"
            （BEST）사대천왕 L/1(L 도우 선택(씬크러스트),사이드 추가선택(볼로네즈 （치즈오븐스파게티）),음료(콜라 500ml),소스(피클))
          ",맛있어요 리뷰 이벤트로 주신 윙도 따뜻하게 와서 기분 좋았어요
김준현의피자헤븐-종로성대점,5,5,5,"
            치킨바베큐 M/1(M 도우선택(기본도우),음료(선택안함))
          ",아주 맛있어요~~~~~~~~
김준현의피자헤븐-종로성대점,5,5,5,"
            페퍼로니 M/1(M 도우선택(치즈크러스트),음료(선택안함))
          ",피자도 서비스로 주신 떡뽀기도 넘 맛있어요. 배달도 빨랐어요. 다음에 또 주문하게될것같아요.
김준현의피자헤븐-종로성대점,5,5,5,"
            달고나 고르곤졸라 M/1(M 도우선택(기본도우),음료(선택안함),소스(갈릭디핑（튜브）))
          ",맛있게 잘 먹었습니다 ㅎㅎ 자주 먹어요 ㅎㅎ
김준현의피자헤븐-종로성대점,5,5,5,"
            더블치즈 베이컨 M/1(M 도우선택(기본도우),음료(선택안함))
          ",피자 항상 맛있고 리뷰이벤트로 주는 떡볶이도 너무 맛있어요ㅎㅎ
김준현의피자헤븐-종로성대점,5,5,5,"
            하와이안 L/1(L 도우 선택(기본도우),음료(선택안함))
          ",맛있어요!!! 더 시킬거예요!!
