업체명,맛,양,배달,주문메뉴,상세리뷰
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",또 시켰어요 자꾸 생각나는 맛!! 맛있게 잘 먹었습니다
규리네과일가게-종로점,5,5,5,"
            규리네 9종 고급 과일도시락/1,규리s 체리콕 1보틀/2
          ",감사합니다 맛있게 잘 먹었습니다 수고하세요
규리네과일가게-종로점,5,5,5,"
            제주 한라봉 （ 2알）/1,손질 배 （신고）/1,손질 사과/1
          ",맛있습니다!!!!!
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",Excellent💯
규리네과일가게-종로점,5,5,5,"
            규리네 6종 과일도시락/1,규리s 체리콕 1보틀/2
          ",감사합니다  수고하세요
규리네과일가게-종로점,5,5,5,"
            손질 애플망고 /1,손질 비타베리 딸기（특） 500g /1
          ",서비스까지 완벽한곳💜
규리네과일가게-종로점,5,5,5,"
            손질 꿀자몽/1(사이즈 선택(반개)),손질 멜론/1(사이즈 선택(반통))
          ",뚜껑을 여는 순간 달콤한 향이 확 퍼지는 멜론과 새콤쌉싸름한 자몽 맛있게 먹었습니다.
규리네과일가게-종로점,5,5,5,"
            규리네 9종 고급 과일도시락/1,규리s 체리콕 1보틀/1
          ",과일이 싱싱해서 좋지만 체리콕보틀이 마음에 들어서  대량으로  시키고 싶네요😅😅
규리네과일가게-종로점,5,5,5,"
            규리네 6종 과일도시락/1,규리s 청포도 에이드 1보틀/1,규리s 체리콕 1보틀/1
          ",맛있게 잘 먹었습니다  오늘도 역시 싱싱하네요 수고하세요 감사합니다
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",과일샐러드 팬입니다. 너무 맛있습니다.
규리네과일가게-종로점,5,5,5,"
            규리네 9종 고급 과일도시락/1,규리s 체리콕 1보틀/1
          ",우아!!! 진짜 싱싱하네 깔끔하고 담백한 맛있었어요   다음에 또 시켰먹겠씀 감사합니다
규리네과일가게-종로점,5,5,5,"
            손질 하우스 꿀수박/1(사이즈 선택(400g)),규리네 6종 과일도시락/1
          ",코로나 확진으로 자가격리중이라 과일이 너무 먹고싶은데 나갈순 없고 고민이었어요 후각미각이 없는상태여서 맛이느껴질까 했는데 진짜 다행이도 간간히 향이랑 단맛이 느껴지네요 감사합니다!!!
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",근래 먹은 배달음식 중 제일 맛있어요!!
규리네과일가게-종로점,5,5,5,"
            규리네 9종 고급 과일도시락/1,규리네 옛날 과일사라다 （샐러드）/1,손질 금실 딸기（특） 500g /1
          ",서울 동생한테 보낸거라 제가 정확하게 맛은모르겠고 동생말이 싱싱하고 아기가 잘먹더라고 하더라고요 ^^
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ","언제나 항상 맛나게
작은 손글씨 까지. 잘먹을게요"
규리네과일가게-종로점,5,5,5,"
            손질 금실 딸기（특） 500g /1,손질 크림슨포도/1,손질 배 （신고）/1
          ",과일 맛있어요 양도 많아요.
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ","오~~~~
작은정성이 점점 큰정성으로
바뀌어가내요!!
배달이 약간 늦었는대 그래도~~~!!!
좋내요^^"
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",과일 샐러드 중독이에요ㅋㅋㅋ 맛있어요!!
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",언제 먹어도 맛있네요😊😁
규리네과일가게-종로점,5,5,5,"
            규리네 6종 과일도시락/2,리얼 생딸기 라떼/2
          ",잘먹었습니당 !!!
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ","감동입니다~~
근대 주문실수~
견과류.크래미 빼달라해서 다빠진줄 알았는대
건포도 가있내요 ㅠㅠ
건포도도 견과류 인줄 알앗서요.
무튼 맜나게 먹을게욧~~♥"
규리네과일가게-종로점,5,5,5,"
            규리네 9종 고급 과일도시락/1
          ",과일 달달한 편이라 맛있습니당
규리네과일가게-종로점,5,5,5,"
            손질 바나나 1개/1,리얼 수박쥬스/1,리얼 오렌지 쥬스/1
          ","늦은 시간이었는데도 음료, 과일 모두 신선하고 맛있었어요 ㅎㅎ 주스는 얼음도 진짜 소량만 들어있고 딱 원하던 맛이라  정말 정말 만족스러웠습니다 !!"
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",내가 원했던 그 맛을 찾았어요!!
규리네과일가게-종로점,5,5,5,"
            규리네 6종 과일도시락/1,리얼 수박쥬스/1
          ",과일 신선해서 좋아요
규리네과일가게-종로점,5,5,5,"
            규리네 옛날 과일사라다 （샐러드）/1
          ",오랜만에 주문했는데도 여전히 맛있네요 사라다에 들어있던 감 너무 달았어요 항상 믿고 먹습니다
규리네과일가게-종로점,5,5,5,"
            리얼 딸기바나나쥬스 /1,리얼 스테비아 방울토마토 쥬스/1,리얼 스테비아 흑 토마토 쥬스/1
          ",리뷰 잘안쓰는데 과일 서비스에다가 주스시킨게 다 너무 맛나요 ㅠ 다음에는 과일위주로 시켜먹을게요 과일 오자마자 3명에서 하나씩먹더니 너무 맛난다고 다음에 시켜먹자고하네요
규리네과일가게-종로점,5,5,5,"
            리얼 생딸기 쥬스/1,리얼 오렌지 쥬스/1
          ",달고 맛있어요 감사합니다😀😀😀
