일시,지점,평균기온(°C),일강수량(mm),sale
2021-01-01,108,-4.199999999999997,,615110
2021-01-02,108,-5.0,,296620
2021-01-04,108,-3.5,0.0,259900
2021-01-05,108,-5.5,0.0,248520
2021-01-06,108,-7.400000000000004,2.2999999999999985,469800
2021-01-08,108,-14.899999999999986,,648900
2021-01-09,108,-12.199999999999996,,373520
2021-01-12,108,-3.9,2.6,64270
2021-01-13,108,2.0,0.0,286700
2021-01-14,108,1.6999999999999995,,161140
2021-01-15,108,4.5,0.19999999999999998,106200
2021-01-18,108,-3.799999999999999,0.29999999999999993,249090
2021-01-19,108,-6.299999999999998,,289100
2021-01-20,108,-0.10000000000000003,,223920
2021-01-21,108,4.5,9.199999999999998,267200
2021-01-22,108,5.5,0.1,181350
2021-01-26,108,5.3,1.6999999999999997,134600
2021-01-27,108,1.6999999999999997,,102800
2021-01-28,108,-2.6000000000000005,2.0,213200
2021-01-29,108,-8.799999999999999,,136680
2021-01-30,108,-1.6000000000000005,0.5,362020
2021-02-01,108,5.0,0.7000000000000001,152600
2021-02-02,108,-5.6,0.0,181890
2021-02-03,108,-3.1999999999999997,3.3999999999999995,110200
2021-02-04,108,-3.600000000000001,0.1,178070
2021-02-05,108,1.4000000000000001,,116070
2021-02-06,108,6.8,,276030
2021-02-08,108,-3.100000000000001,,162400
2021-02-09,108,-0.9000000000000001,,120170
2021-02-10,108,3.399999999999999,,282500
2021-02-12,108,6.5,,152500
2021-02-13,108,7.599999999999998,,189200
2021-02-15,108,1.1999999999999997,1.4,178100
2021-02-16,108,-5.099999999999999,1.5,240620
2021-02-17,108,-8.299999999999999,0.0,131550
2021-02-18,108,-5.799999999999998,,174350
2021-02-19,108,1.5999999999999999,,151300
2021-02-20,108,8.799999999999999,,158100
2021-02-21,108,10.8,,181900
2021-02-22,108,7.799999999999999,,106200
2021-02-23,108,0.0,,162200
2021-02-24,108,2.9,,51700
2021-02-25,108,4.2,,130500
2021-02-26,108,8.200000000000001,,226300
2021-02-27,108,9.5,,227400
2021-02-28,108,7.8,,106600
2021-03-01,108,4.700000000000001,67.5,278100
2021-03-02,108,2.3000000000000003,0.09999999999999999,128500
2021-03-03,108,4.3999999999999995,,157000
2021-03-04,108,7.200000000000001,,77700
